Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/11
Anzola d'Ossola;103002;-1;3;7.369999885559082;2021/01/11
Arizzano;103003;-1;18;8.949999809265137;2021/01/11
Arola;103004;-1;0;0;2021/01/11
Aurano;103005;-1;2;19.420000076293945;2021/01/11
Baceno;103006;-1;11;12.260000228881836;2021/01/11
Bannio Anzino;103007;-1;8;16.739999771118164;2021/01/11
Baveno;103008;-1;12;2.440000057220459;2021/01/11
Bee;103009;-1;1;1.3200000524520874;2021/01/11
Belgirate;103010;-1;0;0;2021/01/11
Beura-Cardezza;103011;-1;8;5.449999809265137;2021/01/11
Bognanco;103012;-1;0;0;2021/01/11
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2021/01/11
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/11
Cambiasca;103015;-1;5;3.0799999237060547;2021/01/11
Cannero Riviera;103016;-1;14;15.380000114440918;2021/01/11
Cannobio;103017;-1;48;9.380000114440918;2021/01/11
Caprezzo;103018;-1;0;0;2021/01/11
Casale Corte Cerro;103019;-1;15;4.329999923706055;2021/01/11
Ceppo Morelli;103021;-1;1;3.369999885559082;2021/01/11
Cesara;103022;-1;3;5.050000190734863;2021/01/11
Cossogno;103023;-1;14;20.6200008392334;2021/01/11
Craveggia;103024;-1;1;1.309999942779541;2021/01/11
Crevoladossola;103025;-1;18;3.9100000858306885;2021/01/11
Crodo;103026;-1;3;2.1500000953674316;2021/01/11
Domodossola;103028;-1;71;3.9100000858306885;2021/01/11
Druogno;103029;-1;0;0;2021/01/11
Formazza;103031;-1;3;6.789999961853027;2021/01/11
Germagno;103032;-1;1;5.260000228881836;2021/01/11
Ghiffa;103033;-1;8;3.4000000953674316;2021/01/11
Gignese;103034;-1;1;0.949999988079071;2021/01/11
Gravellona Toce;103035;-1;28;3.5899999141693115;2021/01/11
Gurro;103036;-1;0;0;2021/01/11
Intragna;103037;-1;0;0;2021/01/11
Loreglia;103038;-1;12;51.5;2021/01/11
Macugnaga;103039;-1;0;0;2021/01/11
Madonna del Sasso;103040;-1;0;0;2021/01/11
Malesco;103041;-1;3;2.180000066757202;2021/01/11
Masera;103042;-1;6;4.059999942779541;2021/01/11
Massiola;103043;-1;1;7.940000057220459;2021/01/11
Mergozzo;103044;-1;10;4.619999885559082;2021/01/11
Miazzina;103045;-1;10;26.18000030517578;2021/01/11
Montecrestese;103046;-1;3;2.359999895095825;2021/01/11
Montescheno;103047;-1;1;2.549999952316284;2021/01/11
