Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/12/18
Anzola d'Ossola;103002;-1;2;4.909999847412109;2020/12/18
Arizzano;103003;-1;8;3.9800000190734863;2020/12/18
Arola;103004;-1;0;0;2020/12/18
Aurano;103005;-1;0;0;2020/12/18
Baceno;103006;-1;8;8.920000076293945;2020/12/18
Bannio Anzino;103007;-1;1;2.0899999141693115;2020/12/18
Baveno;103008;-1;22;4.46999979019165;2020/12/18
Bee;103009;-1;5;6.619999885559082;2020/12/18
Belgirate;103010;-1;1;1.9900000095367432;2020/12/18
Beura-Cardezza;103011;-1;5;3.4100000858306885;2020/12/18
Bognanco;103012;-1;2;10.640000343322754;2020/12/18
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2020/12/18
Calasca-Castiglione;103014;-1;0;0;2020/12/18
Cambiasca;103015;-1;4;2.4600000381469727;2020/12/18
Cannero Riviera;103016;-1;1;1.100000023841858;2020/12/18
Cannobio;103017;-1;11;2.1500000953674316;2020/12/18
Caprezzo;103018;-1;1;5.920000076293945;2020/12/18
Casale Corte Cerro;103019;-1;22;6.349999904632568;2020/12/18
Ceppo Morelli;103021;-1;0;0;2020/12/18
Cesara;103022;-1;2;3.369999885559082;2020/12/18
Cossogno;103023;-1;1;1.4700000286102295;2020/12/18
Craveggia;103024;-1;0;0;2020/12/18
Crevoladossola;103025;-1;17;3.700000047683716;2020/12/18
Crodo;103026;-1;6;4.289999961853027;2020/12/18
Domodossola;103028;-1;97;5.349999904632568;2020/12/18
Druogno;103029;-1;10;9.399999618530273;2020/12/18
Formazza;103031;-1;0;0;2020/12/18
Germagno;103032;-1;2;10.529999732971191;2020/12/18
Ghiffa;103033;-1;5;2.119999885559082;2020/12/18
Gignese;103034;-1;0;0;2020/12/18
Gravellona Toce;103035;-1;18;2.309999942779541;2020/12/18
Gurro;103036;-1;0;0;2020/12/18
Intragna;103037;-1;0;0;2020/12/18
Loreglia;103038;-1;2;8.579999923706055;2020/12/18
Macugnaga;103039;-1;0;0;2020/12/18
Madonna del Sasso;103040;-1;0;0;2020/12/18
Malesco;103041;-1;2;1.4500000476837158;2020/12/18
Masera;103042;-1;5;3.380000114440918;2020/12/18
Massiola;103043;-1;0;0;2020/12/18
Mergozzo;103044;-1;12;5.539999961853027;2020/12/18
Miazzina;103045;-1;1;2.619999885559082;2020/12/18
Montecrestese;103046;-1;2;1.5700000524520874;2020/12/18
Montescheno;103047;-1;2;5.099999904632568;2020/12/18
Nonio;103048;-1;0;0;2020/12/18
Oggebbio;103049;-1;2;2.2899999618530273;2020/12/18
Omegna;103050;-1;66;4.340000152587891;2020/12/18
Ornavasso;103051;-1;17;4.949999809265137;2020/12/18
Pallanzeno;103052;-1;1;0.8700000047683716;2020/12/18
Piedimulera;103053;-1;3;1.9700000286102295;2020/12/18
Pieve Vergonte;103054;-1;7;2.7799999713897705;2020/12/18
Premeno;103055;-1;1;1.3700000047683716;2020/12/18
Premia;103056;-1;0;0;2020/12/18
Premosello-Chiovenda;103057;-1;10;5.150000095367432;2020/12/18
Quarna Sopra;103058;-1;2;7.940000057220459;2020/12/18
Quarna Sotto;103059;-1;0;0;2020/12/18
Re;103060;-1;4;5.429999828338623;2020/12/18
San Bernardino Verbano;103061;-1;1;0.7599999904632568;2020/12/18
Santa Maria Maggiore;103062;-1;4;3.0999999046325684;2020/12/18
Stresa;103064;-1;6;1.2300000190734863;2020/12/18
Toceno;103065;-1;1;1.3700000047683716;2020/12/18
Trarego Viggiona;103066;-1;0;0;2020/12/18
Trasquera;103067;-1;0;0;2020/12/18
Trontano;103068;-1;14;8.390000343322754;2020/12/18
Valstrona;103069;-1;2;1.6399999856948853;2020/12/18
Vanzone con San Carlo;103070;-1;0;0;2020/12/18
Varzo;103071;-1;12;5.949999809265137;2020/12/18
Verbania;103072;-1;190;6.230000019073486;2020/12/18
Vignone;103074;-1;5;4.179999828338623;2020/12/18
Villadossola;103075;-1;24;3.680000066757202;2020/12/18
Villette;103076;-1;1;3.5999999046325684;2020/12/18
Vogogna;103077;-1;7;3.990000009536743;2020/12/18
Borgomezzavalle;103078;-1;0;0;2020/12/18
Valle Cannobina;103079;-1;0;0;2020/12/18
Valdilana;096088;-1;36;3.3299999237060547;2020/12/18
Quaregna Cerreto;096087;-1;2;0.9800000190734863;2020/12/18
Campiglia Cervo;096086;-1;0;0;2020/12/18
Lessona;096085;-1;14;5.139999866485596;2020/12/18
Zumaglia;096083;-1;2;1.9600000381469727;2020/12/18
Zubiena;096082;-1;4;3.4800000190734863;2020/12/18
Zimone;096081;-1;0;0;2020/12/18
Viverone;096080;-1;5;3.5399999618530273;2020/12/18
