Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/12/06
Anzola d'Ossola;103002;-1;2;4.909999847412109;2020/12/06
Arizzano;103003;-1;21;10.4399995803833;2020/12/06
Arola;103004;-1;0;0;2020/12/06
Aurano;103005;-1;1;9.710000038146973;2020/12/06
Baceno;103006;-1;17;18.950000762939453;2020/12/06
Bannio Anzino;103007;-1;6;12.550000190734863;2020/12/06
Baveno;103008;-1;38;7.730000019073486;2020/12/06
Bee;103009;-1;6;7.949999809265137;2020/12/06
Belgirate;103010;-1;1;1.9900000095367432;2020/12/06
Beura-Cardezza;103011;-1;5;3.4100000858306885;2020/12/06
Bognanco;103012;-1;0;0;2020/12/06
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2020/12/06
Calasca-Castiglione;103014;-1;3;4.909999847412109;2020/12/06
Cambiasca;103015;-1;13;8.010000228881836;2020/12/06
Cannero Riviera;103016;-1;2;2.200000047683716;2020/12/06
Cannobio;103017;-1;11;2.1500000953674316;2020/12/06
Caprezzo;103018;-1;0;0;2020/12/06
Casale Corte Cerro;103019;-1;29;8.369999885559082;2020/12/06
Ceppo Morelli;103021;-1;2;6.730000019073486;2020/12/06
Cesara;103022;-1;7;11.779999732971191;2020/12/06
Cossogno;103023;-1;7;10.3100004196167;2020/12/06
Craveggia;103024;-1;3;3.940000057220459;2020/12/06
Crevoladossola;103025;-1;24;5.21999979019165;2020/12/06
Crodo;103026;-1;15;10.729999542236328;2020/12/06
Domodossola;103028;-1;185;10.199999809265137;2020/12/06
Druogno;103029;-1;8;7.519999980926514;2020/12/06
Formazza;103031;-1;1;2.259999990463257;2020/12/06
Germagno;103032;-1;3;15.789999961853027;2020/12/06
Ghiffa;103033;-1;14;5.949999809265137;2020/12/06
Gignese;103034;-1;0;0;2020/12/06
Gravellona Toce;103035;-1;40;5.119999885559082;2020/12/06
Gurro;103036;-1;2;10.050000190734863;2020/12/06
Intragna;103037;-1;0;0;2020/12/06
Loreglia;103038;-1;0;0;2020/12/06
Macugnaga;103039;-1;1;1.850000023841858;2020/12/06
Madonna del Sasso;103040;-1;0;0;2020/12/06
Malesco;103041;-1;4;2.9000000953674316;2020/12/06
Masera;103042;-1;8;5.409999847412109;2020/12/06
Massiola;103043;-1;0;0;2020/12/06
Mergozzo;103044;-1;16;7.389999866485596;2020/12/06
Miazzina;103045;-1;2;5.239999771118164;2020/12/06
Montecrestese;103046;-1;20;15.720000267028809;2020/12/06
Montescheno;103047;-1;3;7.650000095367432;2020/12/06
Nonio;103048;-1;2;2.319999933242798;2020/12/06
Oggebbio;103049;-1;5;5.730000019073486;2020/12/06
Omegna;103050;-1;110;7.239999771118164;2020/12/06
Ornavasso;103051;-1;25;7.28000020980835;2020/12/06
Pallanzeno;103052;-1;9;7.840000152587891;2020/12/06
Piedimulera;103053;-1;9;5.920000076293945;2020/12/06
Pieve Vergonte;103054;-1;24;9.529999732971191;2020/12/06
Premeno;103055;-1;5;6.849999904632568;2020/12/06
Premia;103056;-1;2;3.619999885559082;2020/12/06
Premosello-Chiovenda;103057;-1;20;10.300000190734863;2020/12/06
Quarna Sopra;103058;-1;2;7.940000057220459;2020/12/06
Quarna Sotto;103059;-1;0;0;2020/12/06
Re;103060;-1;29;39.400001525878906;2020/12/06
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/12/06
Santa Maria Maggiore;103062;-1;6;4.639999866485596;2020/12/06
