Ente;Confinanti;Data inizio;Positivi 2020/03/25;Data massimo positivi durante chiusura;Massimo positivi durante chiusura;Data fine chiusura;Positivi fine chiusura;Data inizio zona rossa;Positivi inizio zona rossa;Data massimo positivi seconda ondata;Massimo positivi seconda ondata;Data inizio zona arancione;Positivi inizio zona arancione;Data inizio zona gialla;Positivi inizio zona gialla;Data ultimo giorno;Positivi 2021/01/16;Data massimo positivi;Massimo positivi;Data massima variazione;Massima variazione;Data inizio;Positivi per 1000 abitanti 2020/03/25;Data massimo positivi per 1000 abitanti durante chiusura;Massimo positivi per 1000 abitanti durante chiusura;Data fine chiusura;Positivi per 1000 abitanti fine chiusura;Data inizio zona rossa;Positivi per 1000 abitanti inizio zona rossa;Data massimo positivi per 1000 abitanti seconda ondata;Massimo positivi per 1000 abitanti seconda ondata;Data inizio zona arancione;Positivi per 1000 abitanti inizio zona arancione;Data inizio zona gialla;Positivi per 1000 abitanti inizio zona gialla;Data ultimo giorno;Positivi per 1000 abitanti 2021/01/16;Data massimo positivi per 1000 abitanti;Massimo positivi per 1000 abitanti;Data massima variazione per 1000 abitanti;Massima variazione per 1000 abitanti;Tipo
Acceglio;Canosio,Prazzo,Bellino,Argentera;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/09;2;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/11/09;2;2020/11/06;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/09;12.66;2020/11/27;6.33;2020/12/12;0.0;2021/01/16;0.0;2020/11/09;12.66;2020/11/06;6.33;COM
Acqui Terme;Grognardo,Strevi,Montabone,Castel Rocchero,Melazzo,Ricaldone,Cavatore,Alice Bel Colle,Terzo,Visone;2020/03/25;25;2020/05/08;125;2020/05/18;87;2020/11/03;160;2020/11/19;228;2020/11/27;113;2020/12/12;83;2021/01/16;64;2020/11/19;228;2020/11/02;31;2020/03/25;1.28;2020/05/08;6.38;2020/05/18;4.44;2020/11/03;8.16;2020/11/19;11.63;2020/11/27;5.76;2020/12/12;4.23;2021/01/16;3.26;2020/11/19;11.63;2020/11/02;1.58;COM
Agliano Terme;Calosso,Montegrosso d'Asti,Moasca,Castelnuovo Calcea,Costigliole d'Asti;2020/03/25;0;2020/04/21;2;2020/05/18;0;2020/11/03;10;2020/12/31;29;2020/11/27;18;2020/12/12;9;2021/01/16;2;2020/12/31;29;2020/12/24;15;2020/03/25;0.0;2020/04/21;1.26;2020/05/18;0.0;2020/11/03;6.28;2020/12/31;18.22;2020/11/27;11.31;2020/12/12;5.65;2021/01/16;1.26;2020/12/31;18.22;2020/12/24;9.43;COM
Agli̬;Vialfr̬,Bairo,Ozegna,Cuceglio,San Giorgio Canavese,Torre Canavese,San Martino Canavese;2020/03/25;4;2020/04/15;6;2020/05/18;1;2020/11/03;20;2020/11/23;92;2020/11/27;80;2020/12/12;43;2021/01/16;16;2020/11/23;92;2020/11/23;52;2020/03/25;1.52;2020/04/15;2.28;2020/05/18;0.38;2020/11/03;7.59;2020/11/23;34.91;2020/11/27;30.36;2020/12/12;16.32;2021/01/16;6.07;2020/11/23;34.91;2020/11/23;19.73;COM
Agrate Conturbia;Suno,Bogogno,Mezzomerico,Gattico-Veruno,Borgo Ticino,Divignano;2020/03/25;0;2020/04/07;4;2020/05/18;2;2020/11/03;2;2020/11/17;9;2020/11/27;5;2020/12/12;5;2021/01/16;3;2020/11/17;9;2020/10/07;3;2020/03/25;0.0;2020/04/07;2.58;2020/05/18;1.29;2020/11/03;1.29;2020/11/17;5.81;2020/11/27;3.23;2020/12/12;3.23;2021/01/16;1.94;2020/11/17;5.81;2020/10/07;1.94;COM
Ailoche;Postua,Coggiola,Crevacuore,Caprile,Guardabosone;2020/03/25;0;2020/04/05;1;2020/05/18;0;2020/11/03;0;2020/11/27;7;2020/11/27;7;2020/12/12;4;2021/01/16;1;2020/11/27;7;2020/11/20;2;2020/03/25;0.0;2020/04/05;3.06;2020/05/18;0.0;2020/11/03;0.0;2020/11/27;21.41;2020/11/27;21.41;2020/12/12;12.23;2021/01/16;3.06;2020/11/27;21.41;2020/11/20;6.12;COM
Airasca;Cumiana,Volvera,None,Piscina,Scalenghe;2020/03/25;5;2020/04/16;8;2020/05/18;1;2020/11/03;24;2020/11/17;49;2020/11/27;30;2020/12/12;7;2021/01/16;17;2020/11/17;49;2020/11/10;6;2020/03/25;1.36;2020/04/16;2.17;2020/05/18;0.27;2020/11/03;6.52;2020/11/17;13.31;2020/11/27;8.15;2020/12/12;1.9;2021/01/16;4.62;2020/11/17;13.31;2020/11/10;1.63;COM
Aisone;Valdieri,Demonte,Vinadio;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/17;10;2020/11/27;7;2020/12/12;1;2021/01/16;0;2020/11/17;10;2020/11/12;6;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/17;45.45;2020/11/27;31.82;2020/12/12;4.55;2021/01/16;0.0;2020/11/17;45.45;2020/11/12;27.27;COM
Ala di Stura;Mezzenile,Balme,Groscavallo,Ceres,Lemie,Chialamberto;2020/03/25;1;2020/04/03;2;2020/05/18;0;2020/11/03;4;2020/11/13;9;2020/11/27;4;2020/12/12;3;2021/01/16;0;2020/11/13;9;2020/11/13;4;2020/03/25;2.21;2020/04/03;4.42;2020/05/18;0.0;2020/11/03;8.83;2020/11/13;19.87;2020/11/27;8.83;2020/12/12;6.62;2021/01/16;0.0;2020/11/13;19.87;2020/11/13;8.83;COM
Alagna Valsesia;Alto Sermenza,Mollia,Campertogno,Macugnaga,Rassa;2020/03/25;3;2020/03/29;4;2020/05/18;0;2020/11/03;1;2021/01/11;8;2020/11/27;5;2020/12/12;5;2021/01/16;7;2021/01/11;8;2020/11/14;2;2020/03/25;4.24;2020/03/29;5.65;2020/05/18;0.0;2020/11/03;1.41;2021/01/11;11.3;2020/11/27;7.06;2020/12/12;7.06;2021/01/16;9.89;2021/01/11;11.3;2020/11/14;2.83;COM
