Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/08
Anzola d'Ossola;103002;-1;4;9.829999923706055;2021/01/08
Arizzano;103003;-1;15;7.460000038146973;2021/01/08
Arola;103004;-1;0;0;2021/01/08
Aurano;103005;-1;1;9.710000038146973;2021/01/08
Baceno;103006;-1;8;8.920000076293945;2021/01/08
Bannio Anzino;103007;-1;6;12.550000190734863;2021/01/08
Baveno;103008;-1;10;2.0299999713897705;2021/01/08
Bee;103009;-1;2;2.6500000953674316;2021/01/08
Belgirate;103010;-1;0;0;2021/01/08
Beura-Cardezza;103011;-1;7;4.769999980926514;2021/01/08
Bognanco;103012;-1;0;0;2021/01/08
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2021/01/08
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/08
Cambiasca;103015;-1;3;1.850000023841858;2021/01/08
Cannero Riviera;103016;-1;17;18.68000030517578;2021/01/08
Cannobio;103017;-1;48;9.380000114440918;2021/01/08
Caprezzo;103018;-1;0;0;2021/01/08
Casale Corte Cerro;103019;-1;12;3.4600000381469727;2021/01/08
Ceppo Morelli;103021;-1;1;3.369999885559082;2021/01/08
Cesara;103022;-1;3;5.050000190734863;2021/01/08
Cossogno;103023;-1;9;13.25;2021/01/08
Craveggia;103024;-1;1;1.309999942779541;2021/01/08
Crevoladossola;103025;-1;18;3.9100000858306885;2021/01/08
Crodo;103026;-1;4;2.859999895095825;2021/01/08
Domodossola;103028;-1;64;3.5299999713897705;2021/01/08
Druogno;103029;-1;0;0;2021/01/08
Formazza;103031;-1;3;6.789999961853027;2021/01/08
Germagno;103032;-1;1;5.260000228881836;2021/01/08
Ghiffa;103033;-1;10;4.25;2021/01/08
Gignese;103034;-1;1;0.949999988079071;2021/01/08
Gravellona Toce;103035;-1;25;3.200000047683716;2021/01/08
Gurro;103036;-1;0;0;2021/01/08
Intragna;103037;-1;0;0;2021/01/08
Loreglia;103038;-1;6;25.75;2021/01/08
Macugnaga;103039;-1;0;0;2021/01/08
Madonna del Sasso;103040;-1;0;0;2021/01/08
Malesco;103041;-1;3;2.180000066757202;2021/01/08
Masera;103042;-1;7;4.739999771118164;2021/01/08
Massiola;103043;-1;1;7.940000057220459;2021/01/08
Mergozzo;103044;-1;10;4.619999885559082;2021/01/08
Miazzina;103045;-1;9;23.559999465942383;2021/01/08
Montecrestese;103046;-1;2;1.5700000524520874;2021/01/08
Montescheno;103047;-1;1;2.549999952316284;2021/01/08
Nonio;103048;-1;5;5.809999942779541;2021/01/08
Oggebbio;103049;-1;1;1.149999976158142;2021/01/08
Omegna;103050;-1;72;4.739999771118164;2021/01/08
Ornavasso;103051;-1;13;3.7799999713897705;2021/01/08
Pallanzeno;103052;-1;3;2.609999895095825;2021/01/08
Piedimulera;103053;-1;6;3.940000057220459;2021/01/08
Pieve Vergonte;103054;-1;8;3.180000066757202;2021/01/08
Premeno;103055;-1;4;5.480000019073486;2021/01/08
Premia;103056;-1;1;1.809999942779541;2021/01/08
Premosello-Chiovenda;103057;-1;4;2.059999942779541;2021/01/08
Quarna Sopra;103058;-1;2;7.940000057220459;2021/01/08
Quarna Sotto;103059;-1;0;0;2021/01/08
Re;103060;-1;2;2.7200000286102295;2021/01/08
San Bernardino Verbano;103061;-1;4;3.0299999713897705;2021/01/08
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2021/01/08
Stresa;103064;-1;10;2.049999952316284;2021/01/08
Toceno;103065;-1;1;1.3700000047683716;2021/01/08
Trarego Viggiona;103066;-1;0;0;2021/01/08
Trasquera;103067;-1;0;0;2021/01/08
Trontano;103068;-1;7;4.190000057220459;2021/01/08
Valstrona;103069;-1;2;1.6399999856948853;2021/01/08
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2021/01/08
Varzo;103071;-1;5;2.4800000190734863;2021/01/08
Verbania;103072;-1;220;7.210000038146973;2021/01/08
Vignone;103074;-1;8;6.690000057220459;2021/01/08
Villadossola;103075;-1;22;3.369999885559082;2021/01/08
Villette;103076;-1;1;3.5999999046325684;2021/01/08
Vogogna;103077;-1;5;2.8499999046325684;2021/01/08
Borgomezzavalle;103078;-1;0;0;2021/01/08
Valle Cannobina;103079;-1;1;2.059999942779541;2021/01/08
Valdilana;096088;-1;20;1.850000023841858;2021/01/08
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2021/01/08
Campiglia Cervo;096086;-1;0;0;2021/01/08
Lessona;096085;-1;16;5.869999885559082;2021/01/08
Zumaglia;096083;-1;0;0;2021/01/08
Zubiena;096082;-1;2;1.7400000095367432;2021/01/08
Zimone;096081;-1;2;5.010000228881836;2021/01/08
Viverone;096080;-1;4;2.8299999237060547;2021/01/08
Villanova Biellese;096079;-1;0;0;2021/01/08
Villa del Bosco;096078;-1;2;5.96999979019165;2021/01/08
Vigliano Biellese;096077;-1;30;3.9100000858306885;2021/01/08
