Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/12/19
Anzola d'Ossola;103002;-1;2;4.909999847412109;2020/12/19
Arizzano;103003;-1;9;4.46999979019165;2020/12/19
Arola;103004;-1;0;0;2020/12/19
Aurano;103005;-1;0;0;2020/12/19
Baceno;103006;-1;6;6.690000057220459;2020/12/19
Bannio Anzino;103007;-1;1;2.0899999141693115;2020/12/19
Baveno;103008;-1;21;4.269999980926514;2020/12/19
Bee;103009;-1;5;6.619999885559082;2020/12/19
Belgirate;103010;-1;0;0;2020/12/19
Beura-Cardezza;103011;-1;4;2.7200000286102295;2020/12/19
Bognanco;103012;-1;2;10.640000343322754;2020/12/19
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2020/12/19
Calasca-Castiglione;103014;-1;0;0;2020/12/19
Cambiasca;103015;-1;4;2.4600000381469727;2020/12/19
Cannero Riviera;103016;-1;1;1.100000023841858;2020/12/19
Cannobio;103017;-1;13;2.5399999618530273;2020/12/19
Caprezzo;103018;-1;1;5.920000076293945;2020/12/19
Casale Corte Cerro;103019;-1;23;6.639999866485596;2020/12/19
Ceppo Morelli;103021;-1;0;0;2020/12/19
Cesara;103022;-1;1;1.6799999475479126;2020/12/19
Cossogno;103023;-1;1;1.4700000286102295;2020/12/19
Craveggia;103024;-1;0;0;2020/12/19
Crevoladossola;103025;-1;18;3.9100000858306885;2020/12/19
Crodo;103026;-1;6;4.289999961853027;2020/12/19
Domodossola;103028;-1;96;5.289999961853027;2020/12/19
Druogno;103029;-1;10;9.399999618530273;2020/12/19
Formazza;103031;-1;0;0;2020/12/19
Germagno;103032;-1;2;10.529999732971191;2020/12/19
Ghiffa;103033;-1;5;2.119999885559082;2020/12/19
Gignese;103034;-1;0;0;2020/12/19
Gravellona Toce;103035;-1;18;2.309999942779541;2020/12/19
Gurro;103036;-1;0;0;2020/12/19
Intragna;103037;-1;0;0;2020/12/19
Loreglia;103038;-1;2;8.579999923706055;2020/12/19
Macugnaga;103039;-1;0;0;2020/12/19
Madonna del Sasso;103040;-1;0;0;2020/12/19
Malesco;103041;-1;2;1.4500000476837158;2020/12/19
Masera;103042;-1;5;3.380000114440918;2020/12/19
Massiola;103043;-1;0;0;2020/12/19
Mergozzo;103044;-1;11;5.079999923706055;2020/12/19
Miazzina;103045;-1;1;2.619999885559082;2020/12/19
Montecrestese;103046;-1;2;1.5700000524520874;2020/12/19
Montescheno;103047;-1;2;5.099999904632568;2020/12/19
Nonio;103048;-1;0;0;2020/12/19
Oggebbio;103049;-1;3;3.440000057220459;2020/12/19
Omegna;103050;-1;63;4.150000095367432;2020/12/19
Ornavasso;103051;-1;17;4.949999809265137;2020/12/19
Pallanzeno;103052;-1;1;0.8700000047683716;2020/12/19
Piedimulera;103053;-1;3;1.9700000286102295;2020/12/19
Pieve Vergonte;103054;-1;8;3.180000066757202;2020/12/19
Premeno;103055;-1;1;1.3700000047683716;2020/12/19
Premia;103056;-1;0;0;2020/12/19
Premosello-Chiovenda;103057;-1;8;4.119999885559082;2020/12/19
Quarna Sopra;103058;-1;2;7.940000057220459;2020/12/19
Quarna Sotto;103059;-1;0;0;2020/12/19
Re;103060;-1;4;5.429999828338623;2020/12/19
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2020/12/19
Santa Maria Maggiore;103062;-1;4;3.0999999046325684;2020/12/19
Stresa;103064;-1;5;1.0299999713897705;2020/12/19
Toceno;103065;-1;1;1.3700000047683716;2020/12/19
Trarego Viggiona;103066;-1;0;0;2020/12/19
Trasquera;103067;-1;0;0;2020/12/19
Trontano;103068;-1;13;7.789999961853027;2020/12/19
Valstrona;103069;-1;0;0;2020/12/19
Vanzone con San Carlo;103070;-1;0;0;2020/12/19
Varzo;103071;-1;9;4.460000038146973;2020/12/19
Verbania;103072;-1;199;6.519999980926514;2020/12/19
Vignone;103074;-1;4;3.3499999046325684;2020/12/19
Villadossola;103075;-1;22;3.369999885559082;2020/12/19
Villette;103076;-1;1;3.5999999046325684;2020/12/19
Vogogna;103077;-1;7;3.990000009536743;2020/12/19
Borgomezzavalle;103078;-1;0;0;2020/12/19
Valle Cannobina;103079;-1;0;0;2020/12/19
Valdilana;096088;-1;37;3.4200000762939453;2020/12/19
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2020/12/19
Campiglia Cervo;096086;-1;0;0;2020/12/19
Lessona;096085;-1;13;4.769999980926514;2020/12/19
Zumaglia;096083;-1;2;1.9600000381469727;2020/12/19
Zubiena;096082;-1;3;2.609999895095825;2020/12/19
Zimone;096081;-1;2;5.010000228881836;2020/12/19
Viverone;096080;-1;5;3.5399999618530273;2020/12/19
Villanova Biellese;096079;-1;0;0;2020/12/19
Villa del Bosco;096078;-1;11;32.84000015258789;2020/12/19
Vigliano Biellese;096077;-1;23;3;2020/12/19
Verrone;096076;-1;4;3.2100000381469727;2020/12/19
Veglio;096075;-1;0;0;2020/12/19
Valle San Nicolao;096074;-1;3;3.1500000953674316;2020/12/19
Vallanzengo;096072;-1;0;0;2020/12/19
Valdengo;096071;-1;3;1.2200000286102295;2020/12/19
Torrazzo;096069;-1;0;0;2020/12/19
Tollegno;096068;-1;23;9.399999618530273;2020/12/19
Ternengo;096067;-1;1;3.569999933242798;2020/12/19
Tavigliano;096066;-1;8;8.630000114440918;2020/12/19
Strona;096065;-1;2;1.8700000047683716;2020/12/19
Sostegno;096064;-1;1;1.2999999523162842;2020/12/19
Sordevolo;096063;-1;2;1.4900000095367432;2020/12/19
Sandigliano;096059;-1;5;1.8700000047683716;2020/12/19
Salussola;096058;-1;17;8.84000015258789;2020/12/19
Sala Biellese;096057;-1;3;5.070000171661377;2020/12/19
Sagliano Micca;096056;-1;2;1.25;2020/12/19
Rosazza;096055;-1;0;0;2020/12/19
Roppolo;096054;-1;3;3.4100000858306885;2020/12/19
Ronco Biellese;096053;-1;3;1.9900000095367432;2020/12/19
Pray;096050;-1;8;3.7899999618530273;2020/12/19
Pralungo;096049;-1;9;3.799999952316284;2020/12/19
Portula;096048;-1;5;4.190000057220459;2020/12/19
Ponderano;096047;-1;11;2.9100000858306885;2020/12/19
Pollone;096046;-1;11;5.210000038146973;2020/12/19
Piedicavallo;096044;-1;0;0;2020/12/19
Piatto;096043;-1;2;3.9700000286102295;2020/12/19
Pettinengo;096042;-1;4;2.630000114440918;2020/12/19
Occhieppo Superiore;096041;-1;4;1.4900000095367432;2020/12/19
Occhieppo Inferiore;096040;-1;11;2.819999933242798;2020/12/19
Netro;096039;-1;1;1.0299999713897705;2020/12/19
Muzzano;096038;-1;0;0;2020/12/19
