Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/03
Anzola d'Ossola;103002;-1;4;9.829999923706055;2021/01/03
Arizzano;103003;-1;11;5.46999979019165;2021/01/03
Arola;103004;-1;0;0;2021/01/03
Aurano;103005;-1;1;9.710000038146973;2021/01/03
Baceno;103006;-1;4;4.460000038146973;2021/01/03
Bannio Anzino;103007;-1;0;0;2021/01/03
Baveno;103008;-1;9;1.8300000429153442;2021/01/03
Bee;103009;-1;1;1.3200000524520874;2021/01/03
Belgirate;103010;-1;0;0;2021/01/03
Beura-Cardezza;103011;-1;7;4.769999980926514;2021/01/03
Bognanco;103012;-1;0;0;2021/01/03
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2021/01/03
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/03
Cambiasca;103015;-1;3;1.850000023841858;2021/01/03
Cannero Riviera;103016;-1;9;9.890000343322754;2021/01/03
Cannobio;103017;-1;35;6.840000152587891;2021/01/03
Caprezzo;103018;-1;0;0;2021/01/03
Casale Corte Cerro;103019;-1;5;1.440000057220459;2021/01/03
Ceppo Morelli;103021;-1;1;3.369999885559082;2021/01/03
Cesara;103022;-1;2;3.369999885559082;2021/01/03
Cossogno;103023;-1;2;2.950000047683716;2021/01/03
Craveggia;103024;-1;1;1.309999942779541;2021/01/03
Crevoladossola;103025;-1;23;5;2021/01/03
Crodo;103026;-1;2;1.4299999475479126;2021/01/03
Domodossola;103028;-1;59;3.25;2021/01/03
Druogno;103029;-1;1;0.9399999976158142;2021/01/03
Formazza;103031;-1;2;4.519999980926514;2021/01/03
Germagno;103032;-1;1;5.260000228881836;2021/01/03
Ghiffa;103033;-1;13;5.519999980926514;2021/01/03
Gignese;103034;-1;0;0;2021/01/03
Gravellona Toce;103035;-1;12;1.5399999618530273;2021/01/03
Gurro;103036;-1;0;0;2021/01/03
Intragna;103037;-1;0;0;2021/01/03
Loreglia;103038;-1;1;4.289999961853027;2021/01/03
Macugnaga;103039;-1;1;1.850000023841858;2021/01/03
Madonna del Sasso;103040;-1;0;0;2021/01/03
Malesco;103041;-1;3;2.180000066757202;2021/01/03
Masera;103042;-1;6;4.059999942779541;2021/01/03
Massiola;103043;-1;0;0;2021/01/03
Mergozzo;103044;-1;11;5.079999923706055;2021/01/03
Miazzina;103045;-1;2;5.239999771118164;2021/01/03
Montecrestese;103046;-1;0;0;2021/01/03
Montescheno;103047;-1;5;12.760000228881836;2021/01/03
Nonio;103048;-1;1;1.159999966621399;2021/01/03
Oggebbio;103049;-1;1;1.149999976158142;2021/01/03
Omegna;103050;-1;61;4.019999980926514;2021/01/03
Ornavasso;103051;-1;9;2.619999885559082;2021/01/03
Pallanzeno;103052;-1;3;2.609999895095825;2021/01/03
Piedimulera;103053;-1;5;3.2899999618530273;2021/01/03
Pieve Vergonte;103054;-1;10;3.9700000286102295;2021/01/03
Premeno;103055;-1;4;5.480000019073486;2021/01/03
Premia;103056;-1;0;0;2021/01/03
Premosello-Chiovenda;103057;-1;6;3.0899999141693115;2021/01/03
Quarna Sopra;103058;-1;2;7.940000057220459;2021/01/03
Quarna Sotto;103059;-1;0;0;2021/01/03
Re;103060;-1;1;1.3600000143051147;2021/01/03
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2021/01/03
Santa Maria Maggiore;103062;-1;3;2.319999933242798;2021/01/03
Stresa;103064;-1;6;1.2300000190734863;2021/01/03
Toceno;103065;-1;1;1.3700000047683716;2021/01/03
Trarego Viggiona;103066;-1;0;0;2021/01/03
Trasquera;103067;-1;0;0;2021/01/03
Trontano;103068;-1;8;4.789999961853027;2021/01/03
Valstrona;103069;-1;0;0;2021/01/03
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2021/01/03
Varzo;103071;-1;7;3.4700000286102295;2021/01/03
Verbania;103072;-1;211;6.920000076293945;2021/01/03
Vignone;103074;-1;8;6.690000057220459;2021/01/03
Villadossola;103075;-1;18;2.759999990463257;2021/01/03
Villette;103076;-1;3;10.789999961853027;2021/01/03
Vogogna;103077;-1;2;1.1399999856948853;2021/01/03
Borgomezzavalle;103078;-1;0;0;2021/01/03
Valle Cannobina;103079;-1;0;0;2021/01/03
Valdilana;096088;-1;29;2.680000066757202;2021/01/03
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2021/01/03
Campiglia Cervo;096086;-1;0;0;2021/01/03
Lessona;096085;-1;16;5.869999885559082;2021/01/03
Zumaglia;096083;-1;0;0;2021/01/03
Zubiena;096082;-1;6;5.230000019073486;2021/01/03
Zimone;096081;-1;5;12.529999732971191;2021/01/03
Viverone;096080;-1;4;2.8299999237060547;2021/01/03
Villanova Biellese;096079;-1;0;0;2021/01/03
Villa del Bosco;096078;-1;2;5.96999979019165;2021/01/03
Vigliano Biellese;096077;-1;32;4.170000076293945;2021/01/03
Verrone;096076;-1;2;1.600000023841858;2021/01/03
Veglio;096075;-1;0;0;2021/01/03
Valle San Nicolao;096074;-1;3;3.1500000953674316;2021/01/03
Vallanzengo;096072;-1;0;0;2021/01/03
Valdengo;096071;-1;9;3.6600000858306885;2021/01/03
Torrazzo;096069;-1;0;0;2021/01/03
Tollegno;096068;-1;7;2.859999895095825;2021/01/03
Ternengo;096067;-1;0;0;2021/01/03
Tavigliano;096066;-1;12;12.9399995803833;2021/01/03
Strona;096065;-1;1;0.9300000071525574;2021/01/03
Sostegno;096064;-1;1;1.2999999523162842;2021/01/03
Sordevolo;096063;-1;1;0.75;2021/01/03
Sandigliano;096059;-1;8;3;2021/01/03
Salussola;096058;-1;7;3.640000104904175;2021/01/03
Sala Biellese;096057;-1;0;0;2021/01/03
Sagliano Micca;096056;-1;6;3.740000009536743;2021/01/03
Rosazza;096055;-1;0;0;2021/01/03
Roppolo;096054;-1;0;0;2021/01/03
Ronco Biellese;096053;-1;0;0;2021/01/03
Pray;096050;-1;6;2.8399999141693115;2021/01/03
Pralungo;096049;-1;2;0.8399999737739563;2021/01/03
Portula;096048;-1;10;8.390000343322754;2021/01/03
Ponderano;096047;-1;6;1.590000033378601;2021/01/03
Pollone;096046;-1;8;3.7899999618530273;2021/01/03
Piedicavallo;096044;-1;0;0;2021/01/03
Piatto;096043;-1;0;0;2021/01/03
Pettinengo;096042;-1;7;4.610000133514404;2021/01/03
Occhieppo Superiore;096041;-1;7;2.5999999046325684;2021/01/03
Occhieppo Inferiore;096040;-1;10;2.559999942779541;2021/01/03
