Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/22
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/01/22
Arizzano;103003;-1;5;2.490000009536743;2021/01/22
Arola;103004;-1;1;4.119999885559082;2021/01/22
Aurano;103005;-1;2;19.420000076293945;2021/01/22
Baceno;103006;-1;11;12.260000228881836;2021/01/22
Bannio Anzino;103007;-1;3;6.28000020980835;2021/01/22
Baveno;103008;-1;18;3.6600000858306885;2021/01/22
Bee;103009;-1;0;0;2021/01/22
Belgirate;103010;-1;3;5.960000038146973;2021/01/22
Beura-Cardezza;103011;-1;5;3.4100000858306885;2021/01/22
Bognanco;103012;-1;0;0;2021/01/22
Brovello-Carpugnino;103013;-1;0;0;2021/01/22
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/22
Cambiasca;103015;-1;5;3.0799999237060547;2021/01/22
Cannero Riviera;103016;-1;8;8.789999961853027;2021/01/22
Cannobio;103017;-1;35;6.840000152587891;2021/01/22
Caprezzo;103018;-1;2;11.829999923706055;2021/01/22
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2021/01/22
Ceppo Morelli;103021;-1;0;0;2021/01/22
Cesara;103022;-1;1;1.6799999475479126;2021/01/22
Cossogno;103023;-1;16;23.559999465942383;2021/01/22
Craveggia;103024;-1;1;1.309999942779541;2021/01/22
Crevoladossola;103025;-1;18;3.9100000858306885;2021/01/22
Crodo;103026;-1;2;1.4299999475479126;2021/01/22
Domodossola;103028;-1;48;2.6500000953674316;2021/01/22
Druogno;103029;-1;5;4.699999809265137;2021/01/22
Formazza;103031;-1;0;0;2021/01/22
Germagno;103032;-1;0;0;2021/01/22
Ghiffa;103033;-1;9;3.819999933242798;2021/01/22
Gignese;103034;-1;1;0.949999988079071;2021/01/22
Gravellona Toce;103035;-1;24;3.069999933242798;2021/01/22
Gurro;103036;-1;0;0;2021/01/22
Intragna;103037;-1;0;0;2021/01/22
Loreglia;103038;-1;12;51.5;2021/01/22
Macugnaga;103039;-1;1;1.850000023841858;2021/01/22
Madonna del Sasso;103040;-1;0;0;2021/01/22
Malesco;103041;-1;0;0;2021/01/22
Masera;103042;-1;4;2.7100000381469727;2021/01/22
Massiola;103043;-1;1;7.940000057220459;2021/01/22
Mergozzo;103044;-1;15;6.929999828338623;2021/01/22
Miazzina;103045;-1;8;20.940000534057617;2021/01/22
Montecrestese;103046;-1;8;6.289999961853027;2021/01/22
Montescheno;103047;-1;0;0;2021/01/22
Nonio;103048;-1;6;6.96999979019165;2021/01/22
Oggebbio;103049;-1;1;1.149999976158142;2021/01/22
Omegna;103050;-1;83;5.460000038146973;2021/01/22
Ornavasso;103051;-1;14;4.079999923706055;2021/01/22
Pallanzeno;103052;-1;4;3.4800000190734863;2021/01/22
Piedimulera;103053;-1;5;3.2899999618530273;2021/01/22
Pieve Vergonte;103054;-1;11;4.369999885559082;2021/01/22
Premeno;103055;-1;7;9.59000015258789;2021/01/22
Premia;103056;-1;1;1.809999942779541;2021/01/22
Premosello-Chiovenda;103057;-1;9;4.639999866485596;2021/01/22
Quarna Sopra;103058;-1;0;0;2021/01/22
Quarna Sotto;103059;-1;0;0;2021/01/22
Re;103060;-1;0;0;2021/01/22
San Bernardino Verbano;103061;-1;5;3.7899999618530273;2021/01/22
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2021/01/22
Stresa;103064;-1;16;3.2899999618530273;2021/01/22
Toceno;103065;-1;1;1.3700000047683716;2021/01/22
Trarego Viggiona;103066;-1;3;7.190000057220459;2021/01/22
Trasquera;103067;-1;0;0;2021/01/22
Trontano;103068;-1;9;5.389999866485596;2021/01/22
Valstrona;103069;-1;12;9.869999885559082;2021/01/22
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2021/01/22
Varzo;103071;-1;3;1.4900000095367432;2021/01/22
Verbania;103072;-1;136;4.460000038146973;2021/01/22
Vignone;103074;-1;7;5.860000133514404;2021/01/22
Villadossola;103075;-1;10;1.5299999713897705;2021/01/22
Villette;103076;-1;0;0;2021/01/22
Vogogna;103077;-1;4;2.2799999713897705;2021/01/22
Borgomezzavalle;103078;-1;1;3.1700000762939453;2021/01/22
Valle Cannobina;103079;-1;3;6.190000057220459;2021/01/22
Valdilana;096088;-1;11;1.0199999809265137;2021/01/22
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2021/01/22
Campiglia Cervo;096086;-1;3;5.980000019073486;2021/01/22
Lessona;096085;-1;4;1.4700000286102295;2021/01/22
Zumaglia;096083;-1;2;1.9600000381469727;2021/01/22
Zubiena;096082;-1;0;0;2021/01/22
Zimone;096081;-1;1;2.509999990463257;2021/01/22
Viverone;096080;-1;3;2.130000114440918;2021/01/22
Villanova Biellese;096079;-1;0;0;2021/01/22
Villa del Bosco;096078;-1;3;8.960000038146973;2021/01/22
Vigliano Biellese;096077;-1;14;1.8300000429153442;2021/01/22
Verrone;096076;-1;1;0.800000011920929;2021/01/22
Veglio;096075;-1;1;2.0999999046325684;2021/01/22
Valle San Nicolao;096074;-1;0;0;2021/01/22
Vallanzengo;096072;-1;0;0;2021/01/22
Valdengo;096071;-1;4;1.6299999952316284;2021/01/22
Torrazzo;096069;-1;0;0;2021/01/22
Tollegno;096068;-1;8;3.2699999809265137;2021/01/22
Ternengo;096067;-1;0;0;2021/01/22
Tavigliano;096066;-1;6;6.46999979019165;2021/01/22
Strona;096065;-1;0;0;2021/01/22
Sostegno;096064;-1;3;3.9000000953674316;2021/01/22
Sordevolo;096063;-1;0;0;2021/01/22
Sandigliano;096059;-1;4;1.5;2021/01/22
Salussola;096058;-1;0;0;2021/01/22
Sala Biellese;096057;-1;0;0;2021/01/22
Sagliano Micca;096056;-1;11;6.849999904632568;2021/01/22
Rosazza;096055;-1;0;0;2021/01/22
Roppolo;096054;-1;1;1.1399999856948853;2021/01/22
Ronco Biellese;096053;-1;4;2.6500000953674316;2021/01/22
Pray;096050;-1;12;5.679999828338623;2021/01/22
Pralungo;096049;-1;12;5.059999942779541;2021/01/22
Portula;096048;-1;3;2.5199999809265137;2021/01/22
Ponderano;096047;-1;2;0.5299999713897705;2021/01/22
Pollone;096046;-1;4;1.8899999856948853;2021/01/22
Piedicavallo;096044;-1;0;0;2021/01/22
Piatto;096043;-1;1;1.9800000190734863;2021/01/22
Pettinengo;096042;-1;1;0.6600000262260437;2021/01/22
Occhieppo Superiore;096041;-1;8;2.9700000286102295;2021/01/22
Occhieppo Inferiore;096040;-1;3;0.7699999809265137;2021/01/22
Netro;096039;-1;0;0;2021/01/22
Muzzano;096038;-1;0;0;2021/01/22
Mottalciata;096037;-1;2;1.4800000190734863;2021/01/22
Mongrando;096035;-1;7;1.850000023841858;2021/01/22
Miagliano;096034;-1;1;1.75;2021/01/22
Mezzana Mortigliengo;096033;-1;1;2;2021/01/22
Masserano;096032;-1;2;0.9599999785423279;2021/01/22
