Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/19
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/01/19
Arizzano;103003;-1;11;5.46999979019165;2021/01/19
Arola;103004;-1;1;4.119999885559082;2021/01/19
Aurano;103005;-1;2;19.420000076293945;2021/01/19
Baceno;103006;-1;12;13.380000114440918;2021/01/19
Bannio Anzino;103007;-1;8;16.739999771118164;2021/01/19
Baveno;103008;-1;20;4.070000171661377;2021/01/19
Bee;103009;-1;0;0;2021/01/19
Belgirate;103010;-1;3;5.960000038146973;2021/01/19
Beura-Cardezza;103011;-1;5;3.4100000858306885;2021/01/19
Bognanco;103012;-1;0;0;2021/01/19
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/01/19
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/19
Cambiasca;103015;-1;4;2.4600000381469727;2021/01/19
Cannero Riviera;103016;-1;10;10.989999771118164;2021/01/19
Cannobio;103017;-1;45;8.789999961853027;2021/01/19
Caprezzo;103018;-1;1;5.920000076293945;2021/01/19
Casale Corte Cerro;103019;-1;11;3.1700000762939453;2021/01/19
Ceppo Morelli;103021;-1;0;0;2021/01/19
Cesara;103022;-1;2;3.369999885559082;2021/01/19
Cossogno;103023;-1;17;25.040000915527344;2021/01/19
Craveggia;103024;-1;2;2.619999885559082;2021/01/19
Crevoladossola;103025;-1;22;4.78000020980835;2021/01/19
Crodo;103026;-1;1;0.7200000286102295;2021/01/19
Domodossola;103028;-1;57;3.140000104904175;2021/01/19
Druogno;103029;-1;7;6.579999923706055;2021/01/19
Formazza;103031;-1;1;2.259999990463257;2021/01/19
Germagno;103032;-1;1;5.260000228881836;2021/01/19
Ghiffa;103033;-1;8;3.4000000953674316;2021/01/19
Gignese;103034;-1;1;0.949999988079071;2021/01/19
Gravellona Toce;103035;-1;27;3.4600000381469727;2021/01/19
Gurro;103036;-1;0;0;2021/01/19
Intragna;103037;-1;0;0;2021/01/19
Loreglia;103038;-1;16;68.66999816894531;2021/01/19
Macugnaga;103039;-1;1;1.850000023841858;2021/01/19
Madonna del Sasso;103040;-1;0;0;2021/01/19
Malesco;103041;-1;2;1.4500000476837158;2021/01/19
Masera;103042;-1;5;3.380000114440918;2021/01/19
Massiola;103043;-1;1;7.940000057220459;2021/01/19
Mergozzo;103044;-1;14;6.46999979019165;2021/01/19
Miazzina;103045;-1;8;20.940000534057617;2021/01/19
Montecrestese;103046;-1;7;5.5;2021/01/19
Montescheno;103047;-1;1;2.549999952316284;2021/01/19
Nonio;103048;-1;4;4.650000095367432;2021/01/19
Oggebbio;103049;-1;1;1.149999976158142;2021/01/19
Omegna;103050;-1;82;5.400000095367432;2021/01/19
Ornavasso;103051;-1;14;4.079999923706055;2021/01/19
Pallanzeno;103052;-1;3;2.609999895095825;2021/01/19
Piedimulera;103053;-1;6;3.940000057220459;2021/01/19
Pieve Vergonte;103054;-1;12;4.769999980926514;2021/01/19
Premeno;103055;-1;7;9.59000015258789;2021/01/19
Premia;103056;-1;1;1.809999942779541;2021/01/19
Premosello-Chiovenda;103057;-1;6;3.0899999141693115;2021/01/19
Quarna Sopra;103058;-1;0;0;2021/01/19
Quarna Sotto;103059;-1;0;0;2021/01/19
Re;103060;-1;1;1.3600000143051147;2021/01/19
San Bernardino Verbano;103061;-1;6;4.550000190734863;2021/01/19
Santa Maria Maggiore;103062;-1;0;0;2021/01/19
Stresa;103064;-1;15;3.0799999237060547;2021/01/19
Toceno;103065;-1;1;1.3700000047683716;2021/01/19
Trarego Viggiona;103066;-1;2;4.800000190734863;2021/01/19
Trasquera;103067;-1;0;0;2021/01/19
Trontano;103068;-1;9;5.389999866485596;2021/01/19
Valstrona;103069;-1;12;9.869999885559082;2021/01/19
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2021/01/19
Varzo;103071;-1;3;1.4900000095367432;2021/01/19
Verbania;103072;-1;136;4.460000038146973;2021/01/19
Vignone;103074;-1;6;5.019999980926514;2021/01/19
Villadossola;103075;-1;12;1.840000033378601;2021/01/19
Villette;103076;-1;1;3.5999999046325684;2021/01/19
Vogogna;103077;-1;3;1.7100000381469727;2021/01/19
Borgomezzavalle;103078;-1;1;3.1700000762939453;2021/01/19
Valle Cannobina;103079;-1;3;6.190000057220459;2021/01/19
Valdilana;096088;-1;11;1.0199999809265137;2021/01/19
Quaregna Cerreto;096087;-1;4;1.9600000381469727;2021/01/19
Campiglia Cervo;096086;-1;3;5.980000019073486;2021/01/19
Lessona;096085;-1;5;1.840000033378601;2021/01/19
Zumaglia;096083;-1;2;1.9600000381469727;2021/01/19
Zubiena;096082;-1;0;0;2021/01/19
Zimone;096081;-1;3;7.519999980926514;2021/01/19
Viverone;096080;-1;3;2.130000114440918;2021/01/19
Villanova Biellese;096079;-1;0;0;2021/01/19
Villa del Bosco;096078;-1;3;8.960000038146973;2021/01/19
Vigliano Biellese;096077;-1;18;2.3499999046325684;2021/01/19
Verrone;096076;-1;2;1.600000023841858;2021/01/19
Veglio;096075;-1;1;2.0999999046325684;2021/01/19
Valle San Nicolao;096074;-1;0;0;2021/01/19
Vallanzengo;096072;-1;0;0;2021/01/19
