Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2021/01/31
Anzola d'Ossola;103002;-1;0;0;2021/01/31
Arizzano;103003;-1;2;0.9900000095367432;2021/01/31
Arola;103004;-1;1;4.119999885559082;2021/01/31
Aurano;103005;-1;0;0;2021/01/31
Baceno;103006;-1;7;7.800000190734863;2021/01/31
Bannio Anzino;103007;-1;1;2.0899999141693115;2021/01/31
Baveno;103008;-1;21;4.269999980926514;2021/01/31
Bee;103009;-1;3;3.9700000286102295;2021/01/31
Belgirate;103010;-1;1;1.9900000095367432;2021/01/31
Beura-Cardezza;103011;-1;3;2.0399999618530273;2021/01/31
Bognanco;103012;-1;0;0;2021/01/31
Brovello-Carpugnino;103013;-1;1;1.409999966621399;2021/01/31
Calasca-Castiglione;103014;-1;0;0;2021/01/31
Cambiasca;103015;-1;8;4.929999828338623;2021/01/31
Cannero Riviera;103016;-1;0;0;2021/01/31
Cannobio;103017;-1;15;2.930000066757202;2021/01/31
Caprezzo;103018;-1;2;11.829999923706055;2021/01/31
Casale Corte Cerro;103019;-1;16;4.619999885559082;2021/01/31
Ceppo Morelli;103021;-1;0;0;2021/01/31
Cesara;103022;-1;1;1.6799999475479126;2021/01/31
Cossogno;103023;-1;5;7.360000133514404;2021/01/31
Craveggia;103024;-1;0;0;2021/01/31
Crevoladossola;103025;-1;28;6.090000152587891;2021/01/31
Crodo;103026;-1;3;2.1500000953674316;2021/01/31
Domodossola;103028;-1;40;2.200000047683716;2021/01/31
Druogno;103029;-1;2;1.8799999952316284;2021/01/31
Formazza;103031;-1;0;0;2021/01/31
Germagno;103032;-1;2;10.529999732971191;2021/01/31
Ghiffa;103033;-1;14;5.949999809265137;2021/01/31
Gignese;103034;-1;0;0;2021/01/31
Gravellona Toce;103035;-1;23;2.950000047683716;2021/01/31
Gurro;103036;-1;0;0;2021/01/31
Intragna;103037;-1;0;0;2021/01/31
Loreglia;103038;-1;3;12.880000114440918;2021/01/31
Macugnaga;103039;-1;0;0;2021/01/31
Madonna del Sasso;103040;-1;0;0;2021/01/31
Malesco;103041;-1;0;0;2021/01/31
Masera;103042;-1;5;3.380000114440918;2021/01/31
Massiola;103043;-1;1;7.940000057220459;2021/01/31
Mergozzo;103044;-1;8;3.700000047683716;2021/01/31
Miazzina;103045;-1;2;5.239999771118164;2021/01/31
Montecrestese;103046;-1;5;3.930000066757202;2021/01/31
Montescheno;103047;-1;0;0;2021/01/31
Nonio;103048;-1;4;4.650000095367432;2021/01/31
Oggebbio;103049;-1;1;1.149999976158142;2021/01/31
Omegna;103050;-1;74;4.869999885559082;2021/01/31
Ornavasso;103051;-1;8;2.3299999237060547;2021/01/31
Pallanzeno;103052;-1;5;4.360000133514404;2021/01/31
Piedimulera;103053;-1;2;1.309999942779541;2021/01/31
Pieve Vergonte;103054;-1;7;2.7799999713897705;2021/01/31
Premeno;103055;-1;0;0;2021/01/31
Premia;103056;-1;0;0;2021/01/31
Premosello-Chiovenda;103057;-1;11;5.670000076293945;2021/01/31
Quarna Sopra;103058;-1;0;0;2021/01/31
Quarna Sotto;103059;-1;0;0;2021/01/31
Re;103060;-1;2;2.7200000286102295;2021/01/31
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2021/01/31
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2021/01/31
Stresa;103064;-1;10;2.049999952316284;2021/01/31
Toceno;103065;-1;3;4.119999885559082;2021/01/31
Trarego Viggiona;103066;-1;7;16.790000915527344;2021/01/31
Trasquera;103067;-1;0;0;2021/01/31
Trontano;103068;-1;8;4.789999961853027;2021/01/31
Valstrona;103069;-1;6;4.929999828338623;2021/01/31
Vanzone con San Carlo;103070;-1;0;0;2021/01/31
Varzo;103071;-1;2;0.9900000095367432;2021/01/31
Verbania;103072;-1;110;3.609999895095825;2021/01/31
Vignone;103074;-1;1;0.8399999737739563;2021/01/31
Villadossola;103075;-1;11;1.690000057220459;2021/01/31
Villette;103076;-1;0;0;2021/01/31
Vogogna;103077;-1;2;1.1399999856948853;2021/01/31
Borgomezzavalle;103078;-1;1;3.1700000762939453;2021/01/31
Valle Cannobina;103079;-1;0;0;2021/01/31
Valdilana;096088;-1;17;1.5700000524520874;2021/01/31
Quaregna Cerreto;096087;-1;2;0.9800000190734863;2021/01/31
Campiglia Cervo;096086;-1;2;3.9800000190734863;2021/01/31
Lessona;096085;-1;1;0.3700000047683716;2021/01/31
Zumaglia;096083;-1;2;1.9600000381469727;2021/01/31
Zubiena;096082;-1;1;0.8700000047683716;2021/01/31
Zimone;096081;-1;2;5.010000228881836;2021/01/31
Viverone;096080;-1;5;3.5399999618530273;2021/01/31
Villanova Biellese;096079;-1;0;0;2021/01/31
Villa del Bosco;096078;-1;1;2.990000009536743;2021/01/31
Vigliano Biellese;096077;-1;25;3.259999990463257;2021/01/31
Verrone;096076;-1;3;2.4100000858306885;2021/01/31
Veglio;096075;-1;0;0;2021/01/31
Valle San Nicolao;096074;-1;0;0;2021/01/31
Vallanzengo;096072;-1;1;4.630000114440918;2021/01/31
Valdengo;096071;-1;4;1.6299999952316284;2021/01/31
Torrazzo;096069;-1;0;0;2021/01/31
Tollegno;096068;-1;7;2.859999895095825;2021/01/31
Ternengo;096067;-1;0;0;2021/01/31
Tavigliano;096066;-1;3;3.240000009536743;2021/01/31
Strona;096065;-1;0;0;2021/01/31
Sostegno;096064;-1;5;6.5;2021/01/31
Sordevolo;096063;-1;0;0;2021/01/31
Sandigliano;096059;-1;4;1.5;2021/01/31
Salussola;096058;-1;2;1.0399999618530273;2021/01/31
Sala Biellese;096057;-1;0;0;2021/01/31
Sagliano Micca;096056;-1;4;2.490000009536743;2021/01/31
Rosazza;096055;-1;0;0;2021/01/31
Roppolo;096054;-1;2;2.2699999809265137;2021/01/31
Ronco Biellese;096053;-1;4;2.6500000953674316;2021/01/31
Pray;096050;-1;7;3.309999942779541;2021/01/31
Pralungo;096049;-1;9;3.799999952316284;2021/01/31
Portula;096048;-1;0;0;2021/01/31
Ponderano;096047;-1;5;1.3200000524520874;2021/01/31
Pollone;096046;-1;5;2.369999885559082;2021/01/31
Piedicavallo;096044;-1;0;0;2021/01/31
Piatto;096043;-1;0;0;2021/01/31
Pettinengo;096042;-1;3;1.9700000286102295;2021/01/31
Occhieppo Superiore;096041;-1;2;0.7400000095367432;2021/01/31
Occhieppo Inferiore;096040;-1;4;1.0299999713897705;2021/01/31
Netro;096039;-1;0;0;2021/01/31
Muzzano;096038;-1;1;1.659999966621399;2021/01/31
Mottalciata;096037;-1;7;5.170000076293945;2021/01/31
Mongrando;096035;-1;4;1.0499999523162842;2021/01/31
Miagliano;096034;-1;0;0;2021/01/31
Mezzana Mortigliengo;096033;-1;1;2;2021/01/31
Masserano;096032;-1;3;1.4299999475479126;2021/01/31
Massazza;096031;-1;1;1.7999999523162842;2021/01/31
Magnano;096030;-1;0;0;2021/01/31
Graglia;096028;-1;2;1.3200000524520874;2021/01/31
Gifflenga;096027;-1;0;0;2021/01/31
Gaglianico;096026;-1;14;3.75;2021/01/31
Dorzano;096025;-1;1;1.8799999952316284;2021/01/31
Donato;096024;-1;0;0;2021/01/31
Curino;096023;-1;0;0;2021/01/31
Crevacuore;096021;-1;4;2.6700000762939453;2021/01/31
Cossato;096020;-1;22;1.5099999904632568;2021/01/31
Coggiola;096019;-1;10;5.550000190734863;2021/01/31
Cerrione;096018;-1;4;1.3899999856948853;2021/01/31
Cavaglià;096016;-1;9;2.4800000190734863;2021/01/31
Castelletto Cervo;096015;-1;0;0;2021/01/31
Casapinta;096014;-1;0;0;2021/01/31
Caprile;096013;-1;0;0;2021/01/31
Candelo;096012;-1;6;0.800000011920929;2021/01/31
Camburzano;096010;-1;2;1.7300000190734863;2021/01/31
Camandona;096009;-1;0;0;2021/01/31
Callabiana;096008;-1;0;0;2021/01/31
Brusnengo;096007;-1;2;0.9900000095367432;2021/01/31
Borriana;096006;-1;0;0;2021/01/31
Bioglio;096005;-1;1;1.1299999952316284;2021/01/31
Biella;096004;-1;126;2.859999895095825;2021/01/31
Benna;096003;-1;0;0;2021/01/31
Andorno Micca;096002;-1;3;0.9399999976158142;2021/01/31
Ailoche;096001;-1;3;9.170000076293945;2021/01/31
Lu e Cuccaro Monferrato;006193;-1;3;2.140000104904175;2021/01/31
Alluvioni Piovera;006192;-1;39;22.440000534057617;2021/01/31
Cassano Spinola;006191;-1;1;0.550000011920929;2021/01/31
Voltaggio;006190;-1;1;1.409999966621399;2021/01/31
Volpeglino;006189;-1;0;0;2021/01/31
Volpedo;006188;-1;2;1.6799999475479126;2021/01/31
Visone;006187;-1;6;4.849999904632568;2021/01/31
Villaromagnano;006186;-1;3;4.480000019073486;2021/01/31
Villanova Monferrato;006185;-1;1;0.5400000214576721;2021/01/31
Villamiroglio;006184;-1;2;6.539999961853027;2021/01/31
Villalvernia;006183;-1;2;2.240000009536743;2021/01/31
Villadeati;006182;-1;0;0;2021/01/31
Viguzzolo;006181;-1;5;1.6100000143051147;2021/01/31
Vignole Borbera;006180;-1;1;0.47999998927116394;2021/01/31
Vignale Monferrato;006179;-1;0;0;2021/01/31
Valmacca;006178;-1;0;0;2021/01/31
Valenza;006177;-1;41;2.200000047683716;2021/01/31
Trisobbio;006176;-1;2;2.950000047683716;2021/01/31
Treville;006175;-1;0;0;2021/01/31
Tortona;006174;-1;73;2.6700000762939453;2021/01/31
Ticineto;006173;-1;1;0.75;2021/01/31
Terzo;006172;-1;0;0;2021/01/31
Terruggia;006171;-1;1;1.0800000429153442;2021/01/31
Tassarolo;006170;-1;4;6.369999885559082;2021/01/31
