Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2020/12/20
Anzola d'Ossola;103002;-1;2;4.909999847412109;2020/12/20
Arizzano;103003;-1;11;5.46999979019165;2020/12/20
Arola;103004;-1;0;0;2020/12/20
Aurano;103005;-1;0;0;2020/12/20
Baceno;103006;-1;6;6.690000057220459;2020/12/20
Bannio Anzino;103007;-1;2;4.179999828338623;2020/12/20
Baveno;103008;-1;21;4.269999980926514;2020/12/20
Bee;103009;-1;5;6.619999885559082;2020/12/20
Belgirate;103010;-1;0;0;2020/12/20
Beura-Cardezza;103011;-1;4;2.7200000286102295;2020/12/20
Bognanco;103012;-1;2;10.640000343322754;2020/12/20
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2020/12/20
Calasca-Castiglione;103014;-1;0;0;2020/12/20
Cambiasca;103015;-1;4;2.4600000381469727;2020/12/20
Cannero Riviera;103016;-1;1;1.100000023841858;2020/12/20
Cannobio;103017;-1;16;3.130000114440918;2020/12/20
Caprezzo;103018;-1;1;5.920000076293945;2020/12/20
Casale Corte Cerro;103019;-1;22;6.349999904632568;2020/12/20
Ceppo Morelli;103021;-1;0;0;2020/12/20
Cesara;103022;-1;1;1.6799999475479126;2020/12/20
Cossogno;103023;-1;1;1.4700000286102295;2020/12/20
Craveggia;103024;-1;1;1.309999942779541;2020/12/20
Crevoladossola;103025;-1;17;3.700000047683716;2020/12/20
Crodo;103026;-1;5;3.5799999237060547;2020/12/20
Domodossola;103028;-1;95;5.239999771118164;2020/12/20
Druogno;103029;-1;9;8.460000038146973;2020/12/20
Formazza;103031;-1;0;0;2020/12/20
Germagno;103032;-1;2;10.529999732971191;2020/12/20
Ghiffa;103033;-1;8;3.4000000953674316;2020/12/20
Gignese;103034;-1;0;0;2020/12/20
Gravellona Toce;103035;-1;19;2.430000066757202;2020/12/20
Gurro;103036;-1;0;0;2020/12/20
Intragna;103037;-1;0;0;2020/12/20
Loreglia;103038;-1;2;8.579999923706055;2020/12/20
Macugnaga;103039;-1;0;0;2020/12/20
Madonna del Sasso;103040;-1;0;0;2020/12/20
Malesco;103041;-1;2;1.4500000476837158;2020/12/20
Masera;103042;-1;5;3.380000114440918;2020/12/20
Massiola;103043;-1;0;0;2020/12/20
Mergozzo;103044;-1;10;4.619999885559082;2020/12/20
Miazzina;103045;-1;1;2.619999885559082;2020/12/20
Montecrestese;103046;-1;2;1.5700000524520874;2020/12/20
Montescheno;103047;-1;3;7.650000095367432;2020/12/20
Nonio;103048;-1;0;0;2020/12/20
Oggebbio;103049;-1;3;3.440000057220459;2020/12/20
Omegna;103050;-1;64;4.210000038146973;2020/12/20
Ornavasso;103051;-1;16;4.659999847412109;2020/12/20
Pallanzeno;103052;-1;2;1.7400000095367432;2020/12/20
Piedimulera;103053;-1;3;1.9700000286102295;2020/12/20
Pieve Vergonte;103054;-1;9;3.569999933242798;2020/12/20
Premeno;103055;-1;1;1.3700000047683716;2020/12/20
Premia;103056;-1;0;0;2020/12/20
Premosello-Chiovenda;103057;-1;7;3.609999895095825;2020/12/20
Quarna Sopra;103058;-1;2;7.940000057220459;2020/12/20
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/12/20
Re;103060;-1;4;5.429999828338623;2020/12/20
