Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/12
Anzola d'Ossola;103002;-1;3;7.369999885559082;2021/01/12
Arizzano;103003;-1;17;8.449999809265137;2021/01/12
Arola;103004;-1;0;0;2021/01/12
Aurano;103005;-1;2;19.420000076293945;2021/01/12
Baceno;103006;-1;11;12.260000228881836;2021/01/12
Bannio Anzino;103007;-1;8;16.739999771118164;2021/01/12
Baveno;103008;-1;10;2.0299999713897705;2021/01/12
Bee;103009;-1;1;1.3200000524520874;2021/01/12
Belgirate;103010;-1;1;1.9900000095367432;2021/01/12
Beura-Cardezza;103011;-1;7;4.769999980926514;2021/01/12
Bognanco;103012;-1;0;0;2021/01/12
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2021/01/12
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/12
Cambiasca;103015;-1;6;3.700000047683716;2021/01/12
Cannero Riviera;103016;-1;13;14.289999961853027;2021/01/12
Cannobio;103017;-1;48;9.380000114440918;2021/01/12
Caprezzo;103018;-1;0;0;2021/01/12
Casale Corte Cerro;103019;-1;17;4.900000095367432;2021/01/12
Ceppo Morelli;103021;-1;1;3.369999885559082;2021/01/12
Cesara;103022;-1;3;5.050000190734863;2021/01/12
Cossogno;103023;-1;17;25.040000915527344;2021/01/12
Craveggia;103024;-1;1;1.309999942779541;2021/01/12
Crevoladossola;103025;-1;13;2.8299999237060547;2021/01/12
Crodo;103026;-1;2;1.4299999475479126;2021/01/12
Domodossola;103028;-1;65;3.5799999237060547;2021/01/12
Druogno;103029;-1;0;0;2021/01/12
Formazza;103031;-1;3;6.789999961853027;2021/01/12
Germagno;103032;-1;1;5.260000228881836;2021/01/12
Ghiffa;103033;-1;3;1.2699999809265137;2021/01/12
Gignese;103034;-1;1;0.949999988079071;2021/01/12
Gravellona Toce;103035;-1;28;3.5899999141693115;2021/01/12
Gurro;103036;-1;0;0;2021/01/12
Intragna;103037;-1;0;0;2021/01/12
Loreglia;103038;-1;12;51.5;2021/01/12
Macugnaga;103039;-1;0;0;2021/01/12
Madonna del Sasso;103040;-1;0;0;2021/01/12
Malesco;103041;-1;4;2.9000000953674316;2021/01/12
Masera;103042;-1;6;4.059999942779541;2021/01/12
Massiola;103043;-1;1;7.940000057220459;2021/01/12
Mergozzo;103044;-1;11;5.079999923706055;2021/01/12
Miazzina;103045;-1;13;34.029998779296875;2021/01/12
Montecrestese;103046;-1;3;2.359999895095825;2021/01/12
Montescheno;103047;-1;1;2.549999952316284;2021/01/12
Nonio;103048;-1;4;4.650000095367432;2021/01/12
Oggebbio;103049;-1;1;1.149999976158142;2021/01/12
Omegna;103050;-1;85;5.599999904632568;2021/01/12
Ornavasso;103051;-1;12;3.490000009536743;2021/01/12
Pallanzeno;103052;-1;4;3.4800000190734863;2021/01/12
Piedimulera;103053;-1;7;4.599999904632568;2021/01/12
Pieve Vergonte;103054;-1;8;3.180000066757202;2021/01/12
Premeno;103055;-1;7;9.59000015258789;2021/01/12
Premia;103056;-1;1;1.809999942779541;2021/01/12
Premosello-Chiovenda;103057;-1;5;2.5799999237060547;2021/01/12
Quarna Sopra;103058;-1;2;7.940000057220459;2021/01/12
Quarna Sotto;103059;-1;0;0;2021/01/12
Re;103060;-1;2;2.7200000286102295;2021/01/12
San Bernardino Verbano;103061;-1;6;4.550000190734863;2021/01/12
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2021/01/12
Stresa;103064;-1;18;3.700000047683716;2021/01/12
Toceno;103065;-1;2;2.740000009536743;2021/01/12
Trarego Viggiona;103066;-1;0;0;2021/01/12
Trasquera;103067;-1;0;0;2021/01/12
Trontano;103068;-1;4;2.4000000953674316;2021/01/12
Valstrona;103069;-1;4;3.2899999618530273;2021/01/12
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2021/01/12
Varzo;103071;-1;4;1.9800000190734863;2021/01/12
Verbania;103072;-1;199;6.519999980926514;2021/01/12
Vignone;103074;-1;8;6.690000057220459;2021/01/12
Villadossola;103075;-1;20;3.069999933242798;2021/01/12
Villette;103076;-1;1;3.5999999046325684;2021/01/12
Vogogna;103077;-1;4;2.2799999713897705;2021/01/12
Borgomezzavalle;103078;-1;0;0;2021/01/12
Valle Cannobina;103079;-1;3;6.190000057220459;2021/01/12
Valdilana;096088;-1;13;1.2000000476837158;2021/01/12
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2021/01/12
Campiglia Cervo;096086;-1;1;1.9900000095367432;2021/01/12
Lessona;096085;-1;6;2.200000047683716;2021/01/12
Zumaglia;096083;-1;2;1.9600000381469727;2021/01/12
Zubiena;096082;-1;1;0.8700000047683716;2021/01/12
Zimone;096081;-1;2;5.010000228881836;2021/01/12
Viverone;096080;-1;3;2.130000114440918;2021/01/12
Villanova Biellese;096079;-1;0;0;2021/01/12
Villa del Bosco;096078;-1;1;2.990000009536743;2021/01/12
Vigliano Biellese;096077;-1;27;3.5199999809265137;2021/01/12
Verrone;096076;-1;1;0.800000011920929;2021/01/12
Veglio;096075;-1;0;0;2021/01/12
Valle San Nicolao;096074;-1;2;2.0999999046325684;2021/01/12
Vallanzengo;096072;-1;0;0;2021/01/12
Valdengo;096071;-1;6;2.440000057220459;2021/01/12
Torrazzo;096069;-1;0;0;2021/01/12
Tollegno;096068;-1;9;3.680000066757202;2021/01/12
Ternengo;096067;-1;0;0;2021/01/12
Tavigliano;096066;-1;10;10.789999961853027;2021/01/12
Strona;096065;-1;3;2.799999952316284;2021/01/12
Sostegno;096064;-1;1;1.2999999523162842;2021/01/12
Sordevolo;096063;-1;3;2.240000009536743;2021/01/12
Sandigliano;096059;-1;7;2.619999885559082;2021/01/12
Salussola;096058;-1;4;2.0799999237060547;2021/01/12
Sala Biellese;096057;-1;0;0;2021/01/12
Sagliano Micca;096056;-1;6;3.740000009536743;2021/01/12
Rosazza;096055;-1;0;0;2021/01/12
Roppolo;096054;-1;1;1.1399999856948853;2021/01/12
Ronco Biellese;096053;-1;6;3.9800000190734863;2021/01/12
Pray;096050;-1;13;6.150000095367432;2021/01/12
Pralungo;096049;-1;14;5.909999847412109;2021/01/12
Portula;096048;-1;6;5.03000020980835;2021/01/12
Ponderano;096047;-1;4;1.059999942779541;2021/01/12
Pollone;096046;-1;4;1.8899999856948853;2021/01/12
Piedicavallo;096044;-1;0;0;2021/01/12
Piatto;096043;-1;1;1.9800000190734863;2021/01/12
Pettinengo;096042;-1;1;0.6600000262260437;2021/01/12
Occhieppo Superiore;096041;-1;8;2.9700000286102295;2021/01/12
Occhieppo Inferiore;096040;-1;7;1.7899999618530273;2021/01/12
Netro;096039;-1;0;0;2021/01/12
Muzzano;096038;-1;0;0;2021/01/12
Mottalciata;096037;-1;2;1.4800000190734863;2021/01/12
Mongrando;096035;-1;10;2.640000104904175;2021/01/12
Miagliano;096034;-1;0;0;2021/01/12
Mezzana Mortigliengo;096033;-1;1;2;2021/01/12
Masserano;096032;-1;0;0;2021/01/12
Massazza;096031;-1;4;7.179999828338623;2021/01/12
Magnano;096030;-1;0;0;2021/01/12
