Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/06
Anzola d'Ossola;103002;-1;4;9.829999923706055;2021/01/06
Arizzano;103003;-1;13;6.460000038146973;2021/01/06
Arola;103004;-1;0;0;2021/01/06
Aurano;103005;-1;1;9.710000038146973;2021/01/06
Baceno;103006;-1;4;4.460000038146973;2021/01/06
Bannio Anzino;103007;-1;0;0;2021/01/06
Baveno;103008;-1;8;1.6299999952316284;2021/01/06
Bee;103009;-1;1;1.3200000524520874;2021/01/06
Belgirate;103010;-1;0;0;2021/01/06
Beura-Cardezza;103011;-1;6;4.090000152587891;2021/01/06
Bognanco;103012;-1;0;0;2021/01/06
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2021/01/06
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/06
Cambiasca;103015;-1;3;1.850000023841858;2021/01/06
Cannero Riviera;103016;-1;9;9.890000343322754;2021/01/06
Cannobio;103017;-1;43;8.399999618530273;2021/01/06
Caprezzo;103018;-1;0;0;2021/01/06
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2021/01/06
Ceppo Morelli;103021;-1;1;3.369999885559082;2021/01/06
Cesara;103022;-1;3;5.050000190734863;2021/01/06
Cossogno;103023;-1;4;5.889999866485596;2021/01/06
Craveggia;103024;-1;1;1.309999942779541;2021/01/06
Crevoladossola;103025;-1;19;4.130000114440918;2021/01/06
Crodo;103026;-1;3;2.1500000953674316;2021/01/06
Domodossola;103028;-1;54;2.9800000190734863;2021/01/06
Druogno;103029;-1;0;0;2021/01/06
Formazza;103031;-1;3;6.789999961853027;2021/01/06
Germagno;103032;-1;1;5.260000228881836;2021/01/06
Ghiffa;103033;-1;11;4.670000076293945;2021/01/06
Gignese;103034;-1;1;0.949999988079071;2021/01/06
Gravellona Toce;103035;-1;22;2.819999933242798;2021/01/06
Gurro;103036;-1;0;0;2021/01/06
Intragna;103037;-1;0;0;2021/01/06
Loreglia;103038;-1;6;25.75;2021/01/06
Macugnaga;103039;-1;0;0;2021/01/06
Madonna del Sasso;103040;-1;0;0;2021/01/06
Malesco;103041;-1;3;2.180000066757202;2021/01/06
Masera;103042;-1;7;4.739999771118164;2021/01/06
Massiola;103043;-1;1;7.940000057220459;2021/01/06
Mergozzo;103044;-1;11;5.079999923706055;2021/01/06
Miazzina;103045;-1;1;2.619999885559082;2021/01/06
Montecrestese;103046;-1;0;0;2021/01/06
Montescheno;103047;-1;2;5.099999904632568;2021/01/06
Nonio;103048;-1;4;4.650000095367432;2021/01/06
Oggebbio;103049;-1;2;2.2899999618530273;2021/01/06
Omegna;103050;-1;70;4.610000133514404;2021/01/06
Ornavasso;103051;-1;12;3.490000009536743;2021/01/06
Pallanzeno;103052;-1;3;2.609999895095825;2021/01/06
Piedimulera;103053;-1;5;3.2899999618530273;2021/01/06
Pieve Vergonte;103054;-1;8;3.180000066757202;2021/01/06
Premeno;103055;-1;4;5.480000019073486;2021/01/06
Premia;103056;-1;1;1.809999942779541;2021/01/06
