Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2020/12/29
Anzola d'Ossola;103002;-1;0;0;2020/12/29
Arizzano;103003;-1;7;3.4800000190734863;2020/12/29
Arola;103004;-1;0;0;2020/12/29
Aurano;103005;-1;0;0;2020/12/29
Baceno;103006;-1;5;5.570000171661377;2020/12/29
Bannio Anzino;103007;-1;1;2.0899999141693115;2020/12/29
Baveno;103008;-1;5;1.0199999809265137;2020/12/29
Bee;103009;-1;1;1.3200000524520874;2020/12/29
Belgirate;103010;-1;0;0;2020/12/29
Beura-Cardezza;103011;-1;7;4.769999980926514;2020/12/29
Bognanco;103012;-1;0;0;2020/12/29
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2020/12/29
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2020/12/29
Cambiasca;103015;-1;1;0.6200000047683716;2020/12/29
Cannero Riviera;103016;-1;3;3.299999952316284;2020/12/29
Cannobio;103017;-1;23;4.489999771118164;2020/12/29
Caprezzo;103018;-1;0;0;2020/12/29
Casale Corte Cerro;103019;-1;5;1.440000057220459;2020/12/29
Ceppo Morelli;103021;-1;0;0;2020/12/29
Cesara;103022;-1;2;3.369999885559082;2020/12/29
Cossogno;103023;-1;2;2.950000047683716;2020/12/29
Craveggia;103024;-1;1;1.309999942779541;2020/12/29
Crevoladossola;103025;-1;12;2.609999895095825;2020/12/29
Crodo;103026;-1;2;1.4299999475479126;2020/12/29
Domodossola;103028;-1;59;3.25;2020/12/29
Druogno;103029;-1;3;2.819999933242798;2020/12/29
Formazza;103031;-1;1;2.259999990463257;2020/12/29
Germagno;103032;-1;0;0;2020/12/29
Ghiffa;103033;-1;13;5.519999980926514;2020/12/29
Gignese;103034;-1;0;0;2020/12/29
Gravellona Toce;103035;-1;9;1.149999976158142;2020/12/29
Gurro;103036;-1;0;0;2020/12/29
Intragna;103037;-1;0;0;2020/12/29
Loreglia;103038;-1;1;4.289999961853027;2020/12/29
Macugnaga;103039;-1;1;1.850000023841858;2020/12/29
Madonna del Sasso;103040;-1;0;0;2020/12/29
Malesco;103041;-1;1;0.7300000190734863;2020/12/29
Masera;103042;-1;4;2.7100000381469727;2020/12/29
Massiola;103043;-1;0;0;2020/12/29
Mergozzo;103044;-1;6;2.7699999809265137;2020/12/29
Miazzina;103045;-1;2;5.239999771118164;2020/12/29
Montecrestese;103046;-1;1;0.7900000214576721;2020/12/29
Montescheno;103047;-1;4;10.199999809265137;2020/12/29
Nonio;103048;-1;1;1.159999966621399;2020/12/29
Oggebbio;103049;-1;1;1.149999976158142;2020/12/29
Omegna;103050;-1;31;2.0399999618530273;2020/12/29
Ornavasso;103051;-1;8;2.3299999237060547;2020/12/29
Pallanzeno;103052;-1;2;1.7400000095367432;2020/12/29
Piedimulera;103053;-1;2;1.309999942779541;2020/12/29
Pieve Vergonte;103054;-1;6;2.380000114440918;2020/12/29
Premeno;103055;-1;2;2.740000009536743;2020/12/29
Premia;103056;-1;0;0;2020/12/29
Premosello-Chiovenda;103057;-1;5;2.5799999237060547;2020/12/29
Quarna Sopra;103058;-1;1;3.9700000286102295;2020/12/29
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/12/29
Re;103060;-1;2;2.7200000286102295;2020/12/29
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2020/12/29
Santa Maria Maggiore;103062;-1;3;2.319999933242798;2020/12/29
Stresa;103064;-1;6;1.2300000190734863;2020/12/29
Toceno;103065;-1;1;1.3700000047683716;2020/12/29
Trarego Viggiona;103066;-1;0;0;2020/12/29
Trasquera;103067;-1;0;0;2020/12/29
Trontano;103068;-1;6;3.5899999141693115;2020/12/29
Valstrona;103069;-1;1;0.8199999928474426;2020/12/29
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/12/29
Varzo;103071;-1;4;1.9800000190734863;2020/12/29
Verbania;103072;-1;153;5.019999980926514;2020/12/29
Vignone;103074;-1;7;5.860000133514404;2020/12/29
Villadossola;103075;-1;11;1.690000057220459;2020/12/29
Villette;103076;-1;2;7.190000057220459;2020/12/29
Vogogna;103077;-1;3;1.7100000381469727;2020/12/29
Borgomezzavalle;103078;-1;0;0;2020/12/29
Valle Cannobina;103079;-1;0;0;2020/12/29
Valdilana;096088;-1;42;3.880000114440918;2020/12/29
Quaregna Cerreto;096087;-1;2;0.9800000190734863;2020/12/29
Campiglia Cervo;096086;-1;0;0;2020/12/29
Lessona;096085;-1;14;5.139999866485596;2020/12/29
Zumaglia;096083;-1;0;0;2020/12/29
Zubiena;096082;-1;6;5.230000019073486;2020/12/29
Zimone;096081;-1;5;12.529999732971191;2020/12/29
Viverone;096080;-1;4;2.8299999237060547;2020/12/29
Villanova Biellese;096079;-1;0;0;2020/12/29
Villa del Bosco;096078;-1;2;5.96999979019165;2020/12/29
Vigliano Biellese;096077;-1;25;3.259999990463257;2020/12/29
Verrone;096076;-1;4;3.2100000381469727;2020/12/29
Veglio;096075;-1;0;0;2020/12/29
Valle San Nicolao;096074;-1;1;1.0499999523162842;2020/12/29
Vallanzengo;096072;-1;0;0;2020/12/29
Valdengo;096071;-1;6;2.440000057220459;2020/12/29
Torrazzo;096069;-1;0;0;2020/12/29
Tollegno;096068;-1;14;5.71999979019165;2020/12/29
Ternengo;096067;-1;0;0;2020/12/29
Tavigliano;096066;-1;13;14.020000457763672;2020/12/29
Strona;096065;-1;1;0.9300000071525574;2020/12/29
Sostegno;096064;-1;0;0;2020/12/29
Sordevolo;096063;-1;1;0.75;2020/12/29
Sandigliano;096059;-1;6;2.25;2020/12/29
Salussola;096058;-1;9;4.679999828338623;2020/12/29
Sala Biellese;096057;-1;1;1.690000057220459;2020/12/29
Sagliano Micca;096056;-1;0;0;2020/12/29
Rosazza;096055;-1;0;0;2020/12/29
Roppolo;096054;-1;3;3.4100000858306885;2020/12/29
Ronco Biellese;096053;-1;1;0.6600000262260437;2020/12/29
Pray;096050;-1;6;2.8399999141693115;2020/12/29
Pralungo;096049;-1;2;0.8399999737739563;2020/12/29
Portula;096048;-1;10;8.390000343322754;2020/12/29
Ponderano;096047;-1;8;2.109999895095825;2020/12/29
Pollone;096046;-1;5;2.369999885559082;2020/12/29
Piedicavallo;096044;-1;0;0;2020/12/29
Piatto;096043;-1;0;0;2020/12/29
Pettinengo;096042;-1;5;3.2899999618530273;2020/12/29
Occhieppo Superiore;096041;-1;5;1.8600000143051147;2020/12/29
Occhieppo Inferiore;096040;-1;8;2.049999952316284;2020/12/29
Netro;096039;-1;0;0;2020/12/29
Muzzano;096038;-1;0;0;2020/12/29
Mottalciata;096037;-1;2;1.4800000190734863;2020/12/29
Mongrando;096035;-1;9;2.369999885559082;2020/12/29
Miagliano;096034;-1;0;0;2020/12/29
Mezzana Mortigliengo;096033;-1;1;2;2020/12/29
Masserano;096032;-1;5;2.390000104904175;2020/12/29
Massazza;096031;-1;0;0;2020/12/29
Magnano;096030;-1;1;2.5399999618530273;2020/12/29
Graglia;096028;-1;0;0;2020/12/29
Gifflenga;096027;-1;0;0;2020/12/29
Gaglianico;096026;-1;7;1.8700000047683716;2020/12/29
Dorzano;096025;-1;2;3.7699999809265137;2020/12/29
Donato;096024;-1;1;1.3899999856948853;2020/12/29
Curino;096023;-1;0;0;2020/12/29
Crevacuore;096021;-1;8;5.340000152587891;2020/12/29
Cossato;096020;-1;40;2.75;2020/12/29
Coggiola;096019;-1;10;5.550000190734863;2020/12/29
Cerrione;096018;-1;9;3.119999885559082;2020/12/29
Cavaglià;096016;-1;12;3.309999942779541;2020/12/29
Castelletto Cervo;096015;-1;1;1.2200000286102295;2020/12/29
Casapinta;096014;-1;0;0;2020/12/29
Caprile;096013;-1;0;0;2020/12/29
Candelo;096012;-1;13;1.7300000190734863;2020/12/29
Camburzano;096010;-1;3;2.5999999046325684;2020/12/29
Camandona;096009;-1;1;2.869999885559082;2020/12/29
Callabiana;096008;-1;0;0;2020/12/29
Brusnengo;096007;-1;1;0.5;2020/12/29
Borriana;096006;-1;1;1.1399999856948853;2020/12/29
Bioglio;096005;-1;4;4.510000228881836;2020/12/29
Biella;096004;-1;149;3.390000104904175;2020/12/29
Benna;096003;-1;2;1.7100000381469727;2020/12/29
Andorno Micca;096002;-1;15;4.71999979019165;2020/12/29
Ailoche;096001;-1;0;0;2020/12/29
Lu e Cuccaro Monferrato;006193;-1;5;3.559999942779541;2020/12/29
Alluvioni Piovera;006192;-1;4;2.299999952316284;2020/12/29
Cassano Spinola;006191;-1;3;1.659999966621399;2020/12/29
Voltaggio;006190;-1;2;2.819999933242798;2020/12/29
Volpeglino;006189;-1;0;0;2020/12/29
Volpedo;006188;-1;1;0.8399999737739563;2020/12/29
Visone;006187;-1;5;4.039999961853027;2020/12/29
Villaromagnano;006186;-1;0;0;2020/12/29
Villanova Monferrato;006185;-1;5;2.690000057220459;2020/12/29
Villamiroglio;006184;-1;0;0;2020/12/29
Villalvernia;006183;-1;0;0;2020/12/29
Villadeati;006182;-1;1;2.049999952316284;2020/12/29
Viguzzolo;006181;-1;7;2.259999990463257;2020/12/29
Vignole Borbera;006180;-1;4;1.9299999475479126;2020/12/29
Vignale Monferrato;006179;-1;0;0;2020/12/29
Valmacca;006178;-1;21;20.920000076293945;2020/12/29
Valenza;006177;-1;51;2.740000009536743;2020/12/29
Trisobbio;006176;-1;0;0;2020/12/29
