Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2020/12/24
Anzola d'Ossola;103002;-1;0;0;2020/12/24
Arizzano;103003;-1;8;3.9800000190734863;2020/12/24
Arola;103004;-1;0;0;2020/12/24
Aurano;103005;-1;0;0;2020/12/24
Baceno;103006;-1;2;2.2300000190734863;2020/12/24
Bannio Anzino;103007;-1;2;4.179999828338623;2020/12/24
Baveno;103008;-1;7;1.4199999570846558;2020/12/24
Bee;103009;-1;2;2.6500000953674316;2020/12/24
Belgirate;103010;-1;0;0;2020/12/24
Beura-Cardezza;103011;-1;5;3.4100000858306885;2020/12/24
Bognanco;103012;-1;2;10.640000343322754;2020/12/24
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2020/12/24
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2020/12/24
Cambiasca;103015;-1;3;1.850000023841858;2020/12/24
Cannero Riviera;103016;-1;1;1.100000023841858;2020/12/24
Cannobio;103017;-1;21;4.099999904632568;2020/12/24
Caprezzo;103018;-1;1;5.920000076293945;2020/12/24
Casale Corte Cerro;103019;-1;14;4.039999961853027;2020/12/24
Ceppo Morelli;103021;-1;0;0;2020/12/24
Cesara;103022;-1;2;3.369999885559082;2020/12/24
Cossogno;103023;-1;0;0;2020/12/24
Craveggia;103024;-1;1;1.309999942779541;2020/12/24
Crevoladossola;103025;-1;16;3.4800000190734863;2020/12/24
Crodo;103026;-1;4;2.859999895095825;2020/12/24
Domodossola;103028;-1;79;4.349999904632568;2020/12/24
Druogno;103029;-1;7;6.579999923706055;2020/12/24
Formazza;103031;-1;1;2.259999990463257;2020/12/24
Germagno;103032;-1;1;5.260000228881836;2020/12/24
Ghiffa;103033;-1;11;4.670000076293945;2020/12/24
Gignese;103034;-1;0;0;2020/12/24
Gravellona Toce;103035;-1;17;2.180000066757202;2020/12/24
Gurro;103036;-1;0;0;2020/12/24
Intragna;103037;-1;0;0;2020/12/24
Loreglia;103038;-1;1;4.289999961853027;2020/12/24
Macugnaga;103039;-1;1;1.850000023841858;2020/12/24
Madonna del Sasso;103040;-1;0;0;2020/12/24
Malesco;103041;-1;3;2.180000066757202;2020/12/24
Masera;103042;-1;4;2.7100000381469727;2020/12/24
Massiola;103043;-1;0;0;2020/12/24
Mergozzo;103044;-1;8;3.700000047683716;2020/12/24
Miazzina;103045;-1;1;2.619999885559082;2020/12/24
Montecrestese;103046;-1;2;1.5700000524520874;2020/12/24
Montescheno;103047;-1;3;7.650000095367432;2020/12/24
Nonio;103048;-1;0;0;2020/12/24
Oggebbio;103049;-1;3;3.440000057220459;2020/12/24
Omegna;103050;-1;42;2.759999990463257;2020/12/24
Ornavasso;103051;-1;14;4.079999923706055;2020/12/24
Pallanzeno;103052;-1;2;1.7400000095367432;2020/12/24
Piedimulera;103053;-1;2;1.309999942779541;2020/12/24
Pieve Vergonte;103054;-1;8;3.180000066757202;2020/12/24
Premeno;103055;-1;1;1.3700000047683716;2020/12/24
Premia;103056;-1;0;0;2020/12/24
Premosello-Chiovenda;103057;-1;5;2.5799999237060547;2020/12/24
Quarna Sopra;103058;-1;1;3.9700000286102295;2020/12/24
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/12/24
