Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/20
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/01/20
Arizzano;103003;-1;10;4.96999979019165;2021/01/20
Arola;103004;-1;1;4.119999885559082;2021/01/20
Aurano;103005;-1;2;19.420000076293945;2021/01/20
Baceno;103006;-1;11;12.260000228881836;2021/01/20
Bannio Anzino;103007;-1;5;10.460000038146973;2021/01/20
Baveno;103008;-1;20;4.070000171661377;2021/01/20
Bee;103009;-1;0;0;2021/01/20
Belgirate;103010;-1;3;5.960000038146973;2021/01/20
Beura-Cardezza;103011;-1;5;3.4100000858306885;2021/01/20
Bognanco;103012;-1;0;0;2021/01/20
Brovello-Carpugnino;103013;-1;0;0;2021/01/20
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/20
Cambiasca;103015;-1;4;2.4600000381469727;2021/01/20
Cannero Riviera;103016;-1;9;9.890000343322754;2021/01/20
Cannobio;103017;-1;40;7.809999942779541;2021/01/20
Caprezzo;103018;-1;1;5.920000076293945;2021/01/20
Casale Corte Cerro;103019;-1;8;2.309999942779541;2021/01/20
Ceppo Morelli;103021;-1;0;0;2021/01/20
Cesara;103022;-1;2;3.369999885559082;2021/01/20
Cossogno;103023;-1;17;25.040000915527344;2021/01/20
Craveggia;103024;-1;2;2.619999885559082;2021/01/20
Crevoladossola;103025;-1;21;4.570000171661377;2021/01/20
Crodo;103026;-1;2;1.4299999475479126;2021/01/20
Domodossola;103028;-1;52;2.869999885559082;2021/01/20
Druogno;103029;-1;5;4.699999809265137;2021/01/20
Formazza;103031;-1;1;2.259999990463257;2021/01/20
Germagno;103032;-1;1;5.260000228881836;2021/01/20
Ghiffa;103033;-1;7;2.9700000286102295;2021/01/20
Gignese;103034;-1;1;0.949999988079071;2021/01/20
Gravellona Toce;103035;-1;23;2.950000047683716;2021/01/20
Gurro;103036;-1;0;0;2021/01/20
Intragna;103037;-1;0;0;2021/01/20
Loreglia;103038;-1;14;60.09000015258789;2021/01/20
Macugnaga;103039;-1;1;1.850000023841858;2021/01/20
Madonna del Sasso;103040;-1;0;0;2021/01/20
Malesco;103041;-1;2;1.4500000476837158;2021/01/20
Masera;103042;-1;4;2.7100000381469727;2021/01/20
Massiola;103043;-1;1;7.940000057220459;2021/01/20
Mergozzo;103044;-1;15;6.929999828338623;2021/01/20
Miazzina;103045;-1;8;20.940000534057617;2021/01/20
Montecrestese;103046;-1;8;6.289999961853027;2021/01/20
Montescheno;103047;-1;1;2.549999952316284;2021/01/20
Nonio;103048;-1;4;4.650000095367432;2021/01/20
Oggebbio;103049;-1;1;1.149999976158142;2021/01/20
Omegna;103050;-1;75;4.940000057220459;2021/01/20
Ornavasso;103051;-1;13;3.7799999713897705;2021/01/20
Pallanzeno;103052;-1;3;2.609999895095825;2021/01/20
Piedimulera;103053;-1;5;3.2899999618530273;2021/01/20
Pieve Vergonte;103054;-1;12;4.769999980926514;2021/01/20
Premeno;103055;-1;7;9.59000015258789;2021/01/20
Premia;103056;-1;1;1.809999942779541;2021/01/20
Premosello-Chiovenda;103057;-1;6;3.0899999141693115;2021/01/20
Quarna Sopra;103058;-1;0;0;2021/01/20
Quarna Sotto;103059;-1;0;0;2021/01/20
Re;103060;-1;1;1.3600000143051147;2021/01/20
San Bernardino Verbano;103061;-1;7;5.309999942779541;2021/01/20
Santa Maria Maggiore;103062;-1;0;0;2021/01/20
Stresa;103064;-1;15;3.0799999237060547;2021/01/20
Toceno;103065;-1;1;1.3700000047683716;2021/01/20
Trarego Viggiona;103066;-1;2;4.800000190734863;2021/01/20
Trasquera;103067;-1;0;0;2021/01/20
Trontano;103068;-1;9;5.389999866485596;2021/01/20
Valstrona;103069;-1;12;9.869999885559082;2021/01/20
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2021/01/20
Varzo;103071;-1;3;1.4900000095367432;2021/01/20
Verbania;103072;-1;136;4.460000038146973;2021/01/20
Vignone;103074;-1;6;5.019999980926514;2021/01/20
Villadossola;103075;-1;10;1.5299999713897705;2021/01/20
Villette;103076;-1;0;0;2021/01/20
Vogogna;103077;-1;4;2.2799999713897705;2021/01/20
Borgomezzavalle;103078;-1;1;3.1700000762939453;2021/01/20
Valle Cannobina;103079;-1;3;6.190000057220459;2021/01/20
Valdilana;096088;-1;11;1.0199999809265137;2021/01/20
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2021/01/20
Campiglia Cervo;096086;-1;3;5.980000019073486;2021/01/20
Lessona;096085;-1;5;1.840000033378601;2021/01/20
Zumaglia;096083;-1;2;1.9600000381469727;2021/01/20
Zubiena;096082;-1;0;0;2021/01/20
Zimone;096081;-1;2;5.010000228881836;2021/01/20
Viverone;096080;-1;3;2.130000114440918;2021/01/20
Villanova Biellese;096079;-1;0;0;2021/01/20
Villa del Bosco;096078;-1;3;8.960000038146973;2021/01/20
Vigliano Biellese;096077;-1;14;1.8300000429153442;2021/01/20
Verrone;096076;-1;1;0.800000011920929;2021/01/20
Veglio;096075;-1;1;2.0999999046325684;2021/01/20
Valle San Nicolao;096074;-1;0;0;2021/01/20
Vallanzengo;096072;-1;0;0;2021/01/20
Valdengo;096071;-1;4;1.6299999952316284;2021/01/20
Torrazzo;096069;-1;0;0;2021/01/20
