Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Valle Cannobina;103079;-1;1;2.06;2020/12/05
Borgomezzavalle;103078;-1;2;6.35;2020/12/05
Vogogna;103077;-1;12;6.83;2020/12/05
Villette;103076;-1;2;7.19;2020/12/05
Villadossola;103075;-1;61;9.35;2020/12/05
Vignone;103074;-1;10;8.37;2020/12/05
Verbania;103072;-1;301;9.87;2020/12/05
Varzo;103071;-1;17;8.43;2020/12/05
Vanzone con San Carlo;103070;-1;1;2.62;2020/12/05
Valstrona;103069;-1;6;4.93;2020/12/05
Trontano;103068;-1;17;10.19;2020/12/05
Trasquera;103067;-1;4;22.86;2020/12/05
Trarego Viggiona;103066;-1;2;4.8;2020/12/05
Toceno;103065;-1;1;1.37;2020/12/05
Stresa;103064;-1;23;4.72;2020/12/05
Santa Maria Maggiore;103062;-1;7;5.42;2020/12/05
San Bernardino Verbano;103061;-1;3;2.28;2020/12/05
Re;103060;-1;31;42.12;2020/12/05
Quarna Sotto;103059;-1;0;0.0;2020/12/05
Quarna Sopra;103058;-1;2;7.94;2020/12/05
Premosello-Chiovenda;103057;-1;21;10.82;2020/12/05
Premia;103056;-1;2;3.62;2020/12/05
Premeno;103055;-1;6;8.22;2020/12/05
Pieve Vergonte;103054;-1;26;10.33;2020/12/05
Piedimulera;103053;-1;10;6.57;2020/12/05
Pallanzeno;103052;-1;9;7.84;2020/12/05
Ornavasso;103051;-1;23;6.7;2020/12/05
Omegna;103050;-1;114;7.5;2020/12/05
Oggebbio;103049;-1;4;4.58;2020/12/05
Nonio;103048;-1;4;4.65;2020/12/05
Montescheno;103047;-1;3;7.65;2020/12/05
Montecrestese;103046;-1;20;15.72;2020/12/05
Miazzina;103045;-1;2;5.24;2020/12/05
Mergozzo;103044;-1;18;8.31;2020/12/05
Massiola;103043;-1;0;0.0;2020/12/05
Masera;103042;-1;9;6.09;2020/12/05
Malesco;103041;-1;5;3.63;2020/12/05
Madonna del Sasso;103040;-1;0;0.0;2020/12/05
Macugnaga;103039;-1;1;1.85;2020/12/05
Loreglia;103038;-1;0;0.0;2020/12/05
Intragna;103037;-1;0;0.0;2020/12/05
Gurro;103036;-1;2;10.05;2020/12/05
Gravellona Toce;103035;-1;46;5.89;2020/12/05
Gignese;103034;-1;0;0.0;2020/12/05
Ghiffa;103033;-1;15;6.37;2020/12/05
Germagno;103032;-1;3;15.79;2020/12/05
Formazza;103031;-1;1;2.26;2020/12/05
Druogno;103029;-1;6;5.64;2020/12/05
Domodossola;103028;-1;190;10.47;2020/12/05
Crodo;103026;-1;16;11.44;2020/12/05
Crevoladossola;103025;-1;25;5.43;2020/12/05
Craveggia;103024;-1;4;5.25;2020/12/05
Cossogno;103023;-1;10;14.73;2020/12/05
Cesara;103022;-1;6;10.1;2020/12/05
Ceppo Morelli;103021;-1;3;10.1;2020/12/05
Casale Corte Cerro;103019;-1;29;8.37;2020/12/05
Caprezzo;103018;-1;0;0.0;2020/12/05
Cannobio;103017;-1;14;2.73;2020/12/05
Cannero Riviera;103016;-1;2;2.2;2020/12/05
Cambiasca;103015;-1;14;8.63;2020/12/05
Calasca-Castiglione;103014;-1;5;8.18;2020/12/05
Brovello-Carpugnino;103013;-1;2;2.81;2020/12/05
Bognanco;103012;-1;1;5.32;2020/12/05
Beura-Cardezza;103011;-1;6;4.09;2020/12/05
Belgirate;103010;-1;1;1.99;2020/12/05
Bee;103009;-1;7;9.27;2020/12/05
Baveno;103008;-1;44;8.94;2020/12/05
Bannio Anzino;103007;-1;7;14.64;2020/12/05
Baceno;103006;-1;21;23.41;2020/12/05
Aurano;103005;-1;1;9.71;2020/12/05
Arola;103004;-1;0;0.0;2020/12/05
Arizzano;103003;-1;21;10.44;2020/12/05
Anzola d'Ossola;103002;-1;1;2.46;2020/12/05
Antrona Schieranco;103001;-1;3;7.16;2020/12/05
Valdilana;096088;-1;71;6.56;2020/12/05
Quaregna Cerreto;096087;-1;9;4.41;2020/12/05
Campiglia Cervo;096086;-1;0;0.0;2020/12/05
Lessona;096085;-1;14;5.14;2020/12/05
Zumaglia;096083;-1;5;4.9;2020/12/05
Zubiena;096082;-1;3;2.61;2020/12/05
Zimone;096081;-1;1;2.51;2020/12/05
Viverone;096080;-1;8;5.67;2020/12/05
Villanova Biellese;096079;-1;0;0.0;2020/12/05
Villa del Bosco;096078;-1;12;35.82;2020/12/05
Vigliano Biellese;096077;-1;55;7.17;2020/12/05
Verrone;096076;-1;3;2.41;2020/12/05
Veglio;096075;-1;4;8.39;2020/12/05
Valle San Nicolao;096074;-1;2;2.1;2020/12/05
Vallanzengo;096072;-1;0;0.0;2020/12/05
Valdengo;096071;-1;13;5.28;2020/12/05
Torrazzo;096069;-1;3;14.71;2020/12/05
Tollegno;096068;-1;22;8.99;2020/12/05
Ternengo;096067;-1;1;3.57;2020/12/05
Tavigliano;096066;-1;2;2.16;2020/12/05
Strona;096065;-1;4;3.74;2020/12/05
Sostegno;096064;-1;6;7.8;2020/12/05
Sordevolo;096063;-1;5;3.73;2020/12/05
Sandigliano;096059;-1;15;5.62;2020/12/05
Salussola;096058;-1;22;11.43;2020/12/05
Sala Biellese;096057;-1;1;1.69;2020/12/05
Sagliano Micca;096056;-1;6;3.74;2020/12/05
Rosazza;096055;-1;0;0.0;2020/12/05
Roppolo;096054;-1;3;3.41;2020/12/05
Ronco Biellese;096053;-1;6;3.98;2020/12/05
Pray;096050;-1;31;14.67;2020/12/05
Pralungo;096049;-1;17;7.17;2020/12/05
Portula;096048;-1;11;9.23;2020/12/05
Ponderano;096047;-1;26;6.87;2020/12/05
Pollone;096046;-1;9;4.26;2020/12/05
Piedicavallo;096044;-1;0;0.0;2020/12/05
Piatto;096043;-1;4;7.94;2020/12/05
Pettinengo;096042;-1;7;4.61;2020/12/05
Occhieppo Superiore;096041;-1;14;5.2;2020/12/05
Occhieppo Inferiore;096040;-1;30;7.69;2020/12/05
Netro;096039;-1;12;12.35;2020/12/05
Muzzano;096038;-1;1;1.66;2020/12/05
Mottalciata;096037;-1;9;6.65;2020/12/05
Mongrando;096035;-1;27;7.12;2020/12/05
Miagliano;096034;-1;10;17.51;2020/12/05
Mezzana Mortigliengo;096033;-1;7;13.97;2020/12/05
Masserano;096032;-1;24;11.46;2020/12/05
Massazza;096031;-1;1;1.8;2020/12/05
Magnano;096030;-1;11;27.92;2020/12/05
Graglia;096028;-1;6;3.96;2020/12/05
Gifflenga;096027;-1;0;0.0;2020/12/05
Gaglianico;096026;-1;25;6.69;2020/12/05
Dorzano;096025;-1;5;9.42;2020/12/05
Donato;096024;-1;3;4.17;2020/12/05
Curino;096023;-1;2;4.16;2020/12/05
Crevacuore;096021;-1;32;21.36;2020/12/05
Cossato;096020;-1;86;5.92;2020/12/05
Coggiola;096019;-1;25;13.88;2020/12/05
Cerrione;096018;-1;18;6.25;2020/12/05
Cavaglià;096016;-1;34;9.38;2020/12/05
Castelletto Cervo;096015;-1;4;4.88;2020/12/05
Casapinta;096014;-1;1;2.39;2020/12/05
Caprile;096013;-1;4;21.05;2020/12/05
Candelo;096012;-1;58;7.71;2020/12/05
Camburzano;096010;-1;17;14.73;2020/12/05
Camandona;096009;-1;2;5.75;2020/12/05
Callabiana;096008;-1;1;7.52;2020/12/05
Brusnengo;096007;-1;14;6.93;2020/12/05
Borriana;096006;-1;8;9.14;2020/12/05
Bioglio;096005;-1;5;5.64;2020/12/05
Biella;096004;-1;306;6.96;2020/12/05
Benna;096003;-1;10;8.53;2020/12/05
Andorno Micca;096002;-1;26;8.19;2020/12/05
Ailoche;096001;-1;6;18.35;2020/12/05
Lu e Cuccaro Monferrato;006193;-1;8;5.7;2020/12/05
Alluvioni Piovera;006192;-1;20;11.51;2020/12/05
Cassano Spinola;006191;-1;12;6.65;2020/12/05
Voltaggio;006190;-1;2;2.82;2020/12/05
Volpeglino;006189;-1;0;0.0;2020/12/05
Volpedo;006188;-1;3;2.52;2020/12/05
Visone;006187;-1;5;4.04;2020/12/05
Villaromagnano;006186;-1;7;10.45;2020/12/05
Villanova Monferrato;006185;-1;20;10.75;2020/12/05
Villamiroglio;006184;-1;0;0.0;2020/12/05
Villalvernia;006183;-1;6;6.73;2020/12/05
Villadeati;006182;-1;0;0.0;2020/12/05
Viguzzolo;006181;-1;10;3.23;2020/12/05
Vignole Borbera;006180;-1;12;5.8;2020/12/05
Vignale Monferrato;006179;-1;3;3.06;2020/12/05
Valmacca;006178;-1;4;3.98;2020/12/05
Valenza;006177;-1;175;9.39;2020/12/05
Trisobbio;006176;-1;2;2.95;2020/12/05
Treville;006175;-1;0;0.0;2020/12/05
Tortona;006174;-1;108;3.96;2020/12/05
