Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;1;2.390000104904175;2020/12/27
Anzola d'Ossola;103002;-1;0;0;2020/12/27
Arizzano;103003;-1;9;4.46999979019165;2020/12/27
Arola;103004;-1;0;0;2020/12/27
Aurano;103005;-1;0;0;2020/12/27
Baceno;103006;-1;5;5.570000171661377;2020/12/27
Bannio Anzino;103007;-1;2;4.179999828338623;2020/12/27
Baveno;103008;-1;8;1.6299999952316284;2020/12/27
Bee;103009;-1;2;2.6500000953674316;2020/12/27
Belgirate;103010;-1;0;0;2020/12/27
Beura-Cardezza;103011;-1;7;4.769999980926514;2020/12/27
Bognanco;103012;-1;1;5.320000171661377;2020/12/27
Brovello-Carpugnino;103013;-1;3;4.21999979019165;2020/12/27
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2020/12/27
Cambiasca;103015;-1;2;1.2300000190734863;2020/12/27
Cannero Riviera;103016;-1;3;3.299999952316284;2020/12/27
Cannobio;103017;-1;22;4.300000190734863;2020/12/27
Caprezzo;103018;-1;0;0;2020/12/27
Casale Corte Cerro;103019;-1;12;3.4600000381469727;2020/12/27
Ceppo Morelli;103021;-1;0;0;2020/12/27
Cesara;103022;-1;2;3.369999885559082;2020/12/27
Cossogno;103023;-1;2;2.950000047683716;2020/12/27
Craveggia;103024;-1;1;1.309999942779541;2020/12/27
Crevoladossola;103025;-1;14;3.0399999618530273;2020/12/27
Crodo;103026;-1;2;1.4299999475479126;2020/12/27
Domodossola;103028;-1;69;3.799999952316284;2020/12/27
Druogno;103029;-1;6;5.639999866485596;2020/12/27
Formazza;103031;-1;1;2.259999990463257;2020/12/27
Germagno;103032;-1;0;0;2020/12/27
Ghiffa;103033;-1;14;5.949999809265137;2020/12/27
Gignese;103034;-1;0;0;2020/12/27
Gravellona Toce;103035;-1;13;1.659999966621399;2020/12/27
Gurro;103036;-1;0;0;2020/12/27
Intragna;103037;-1;0;0;2020/12/27
Loreglia;103038;-1;1;4.289999961853027;2020/12/27
Macugnaga;103039;-1;1;1.850000023841858;2020/12/27
Madonna del Sasso;103040;-1;0;0;2020/12/27
Malesco;103041;-1;3;2.180000066757202;2020/12/27
Masera;103042;-1;4;2.7100000381469727;2020/12/27
Massiola;103043;-1;0;0;2020/12/27
Mergozzo;103044;-1;6;2.7699999809265137;2020/12/27
Miazzina;103045;-1;2;5.239999771118164;2020/12/27
Montecrestese;103046;-1;2;1.5700000524520874;2020/12/27
Montescheno;103047;-1;4;10.199999809265137;2020/12/27
Nonio;103048;-1;1;1.159999966621399;2020/12/27
Oggebbio;103049;-1;1;1.149999976158142;2020/12/27
Omegna;103050;-1;41;2.700000047683716;2020/12/27
Ornavasso;103051;-1;11;3.200000047683716;2020/12/27
Pallanzeno;103052;-1;3;2.609999895095825;2020/12/27
Piedimulera;103053;-1;2;1.309999942779541;2020/12/27
Pieve Vergonte;103054;-1;7;2.7799999713897705;2020/12/27
Premeno;103055;-1;1;1.3700000047683716;2020/12/27
Premia;103056;-1;0;0;2020/12/27
Premosello-Chiovenda;103057;-1;7;3.609999895095825;2020/12/27
Quarna Sopra;103058;-1;1;3.9700000286102295;2020/12/27
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/12/27
Re;103060;-1;3;4.079999923706055;2020/12/27
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/12/27
Santa Maria Maggiore;103062;-1;4;3.0999999046325684;2020/12/27
Stresa;103064;-1;6;1.2300000190734863;2020/12/27
Toceno;103065;-1;1;1.3700000047683716;2020/12/27
Trarego Viggiona;103066;-1;0;0;2020/12/27
Trasquera;103067;-1;0;0;2020/12/27
Trontano;103068;-1;11;6.590000152587891;2020/12/27
Valstrona;103069;-1;1;0.8199999928474426;2020/12/27
Vanzone con San Carlo;103070;-1;0;0;2020/12/27
Varzo;103071;-1;4;1.9800000190734863;2020/12/27
Verbania;103072;-1;168;5.510000228881836;2020/12/27
Vignone;103074;-1;6;5.019999980926514;2020/12/27
Villadossola;103075;-1;16;2.450000047683716;2020/12/27
Villette;103076;-1;2;7.190000057220459;2020/12/27
Vogogna;103077;-1;4;2.2799999713897705;2020/12/27
Borgomezzavalle;103078;-1;0;0;2020/12/27
Valle Cannobina;103079;-1;0;0;2020/12/27
Valdilana;096088;-1;38;3.509999990463257;2020/12/27
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2020/12/27
Campiglia Cervo;096086;-1;0;0;2020/12/27
Lessona;096085;-1;10;3.6700000762939453;2020/12/27
Zumaglia;096083;-1;0;0;2020/12/27
Zubiena;096082;-1;5;4.360000133514404;2020/12/27
Zimone;096081;-1;5;12.529999732971191;2020/12/27
Viverone;096080;-1;4;2.8299999237060547;2020/12/27
Villanova Biellese;096079;-1;0;0;2020/12/27
Villa del Bosco;096078;-1;2;5.96999979019165;2020/12/27
Vigliano Biellese;096077;-1;21;2.740000009536743;2020/12/27
Verrone;096076;-1;4;3.2100000381469727;2020/12/27
Veglio;096075;-1;0;0;2020/12/27
Valle San Nicolao;096074;-1;2;2.0999999046325684;2020/12/27
Vallanzengo;096072;-1;0;0;2020/12/27
Valdengo;096071;-1;5;2.0299999713897705;2020/12/27
Torrazzo;096069;-1;0;0;2020/12/27
Tollegno;096068;-1;12;4.900000095367432;2020/12/27
Ternengo;096067;-1;1;3.569999933242798;2020/12/27
Tavigliano;096066;-1;13;14.020000457763672;2020/12/27
Strona;096065;-1;1;0.9300000071525574;2020/12/27
Sostegno;096064;-1;1;1.2999999523162842;2020/12/27
Sordevolo;096063;-1;1;0.75;2020/12/27
Sandigliano;096059;-1;5;1.8700000047683716;2020/12/27
Salussola;096058;-1;10;5.199999809265137;2020/12/27
Sala Biellese;096057;-1;1;1.690000057220459;2020/12/27
Sagliano Micca;096056;-1;0;0;2020/12/27
Rosazza;096055;-1;0;0;2020/12/27
Roppolo;096054;-1;2;2.2699999809265137;2020/12/27
Ronco Biellese;096053;-1;1;0.6600000262260437;2020/12/27
Pray;096050;-1;5;2.369999885559082;2020/12/27
Pralungo;096049;-1;4;1.690000057220459;2020/12/27
Portula;096048;-1;8;6.710000038146973;2020/12/27
Ponderano;096047;-1;8;2.109999895095825;2020/12/27
Pollone;096046;-1;6;2.8399999141693115;2020/12/27
Piedicavallo;096044;-1;0;0;2020/12/27
Piatto;096043;-1;0;0;2020/12/27
Pettinengo;096042;-1;4;2.630000114440918;2020/12/27
Occhieppo Superiore;096041;-1;4;1.4900000095367432;2020/12/27
Occhieppo Inferiore;096040;-1;7;1.7899999618530273;2020/12/27
Netro;096039;-1;1;1.0299999713897705;2020/12/27
Muzzano;096038;-1;0;0;2020/12/27
Mottalciata;096037;-1;2;1.4800000190734863;2020/12/27
Mongrando;096035;-1;7;1.850000023841858;2020/12/27
Miagliano;096034;-1;0;0;2020/12/27
Mezzana Mortigliengo;096033;-1;1;2;2020/12/27
Masserano;096032;-1;8;3.819999933242798;2020/12/27
Massazza;096031;-1;0;0;2020/12/27
Magnano;096030;-1;2;5.079999923706055;2020/12/27
Graglia;096028;-1;0;0;2020/12/27
Gifflenga;096027;-1;0;0;2020/12/27
Gaglianico;096026;-1;6;1.6100000143051147;2020/12/27
Dorzano;096025;-1;2;3.7699999809265137;2020/12/27
Donato;096024;-1;1;1.3899999856948853;2020/12/27
Curino;096023;-1;0;0;2020/12/27
Crevacuore;096021;-1;9;6.010000228881836;2020/12/27
Cossato;096020;-1;38;2.609999895095825;2020/12/27
Coggiola;096019;-1;10;5.550000190734863;2020/12/27
Cerrione;096018;-1;7;2.430000066757202;2020/12/27
Cavaglià;096016;-1;14;3.859999895095825;2020/12/27
Castelletto Cervo;096015;-1;3;3.6600000858306885;2020/12/27
Casapinta;096014;-1;1;2.390000104904175;2020/12/27
Caprile;096013;-1;0;0;2020/12/27
Candelo;096012;-1;14;1.8600000143051147;2020/12/27
Camburzano;096010;-1;3;2.5999999046325684;2020/12/27
Camandona;096009;-1;1;2.869999885559082;2020/12/27
Callabiana;096008;-1;0;0;2020/12/27
Brusnengo;096007;-1;2;0.9900000095367432;2020/12/27
Borriana;096006;-1;1;1.1399999856948853;2020/12/27
Bioglio;096005;-1;4;4.510000228881836;2020/12/27
Biella;096004;-1;151;3.430000066757202;2020/12/27
Benna;096003;-1;3;2.559999942779541;2020/12/27
Andorno Micca;096002;-1;15;4.71999979019165;2020/12/27
Ailoche;096001;-1;0;0;2020/12/27
Lu e Cuccaro Monferrato;006193;-1;5;3.559999942779541;2020/12/27
Alluvioni Piovera;006192;-1;7;4.03000020980835;2020/12/27
Cassano Spinola;006191;-1;3;1.659999966621399;2020/12/27
Voltaggio;006190;-1;2;2.819999933242798;2020/12/27
Volpeglino;006189;-1;0;0;2020/12/27
Volpedo;006188;-1;1;0.8399999737739563;2020/12/27
