Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/01/21
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/01/21
Arizzano;103003;-1;6;2.9800000190734863;2021/01/21
Arola;103004;-1;1;4.119999885559082;2021/01/21
Aurano;103005;-1;2;19.420000076293945;2021/01/21
Baceno;103006;-1;11;12.260000228881836;2021/01/21
Bannio Anzino;103007;-1;5;10.460000038146973;2021/01/21
Baveno;103008;-1;18;3.6600000858306885;2021/01/21
Bee;103009;-1;0;0;2021/01/21
Belgirate;103010;-1;3;5.960000038146973;2021/01/21
Beura-Cardezza;103011;-1;5;3.4100000858306885;2021/01/21
Bognanco;103012;-1;0;0;2021/01/21
Brovello-Carpugnino;103013;-1;0;0;2021/01/21
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2021/01/21
Cambiasca;103015;-1;6;3.700000047683716;2021/01/21
Cannero Riviera;103016;-1;8;8.789999961853027;2021/01/21
Cannobio;103017;-1;41;8.010000228881836;2021/01/21
Caprezzo;103018;-1;1;5.920000076293945;2021/01/21
Casale Corte Cerro;103019;-1;7;2.0199999809265137;2021/01/21
Ceppo Morelli;103021;-1;0;0;2021/01/21
Cesara;103022;-1;2;3.369999885559082;2021/01/21
Cossogno;103023;-1;15;22.09000015258789;2021/01/21
Craveggia;103024;-1;2;2.619999885559082;2021/01/21
Crevoladossola;103025;-1;21;4.570000171661377;2021/01/21
Crodo;103026;-1;2;1.4299999475479126;2021/01/21
Domodossola;103028;-1;50;2.759999990463257;2021/01/21
Druogno;103029;-1;5;4.699999809265137;2021/01/21
Formazza;103031;-1;1;2.259999990463257;2021/01/21
Germagno;103032;-1;0;0;2021/01/21
Ghiffa;103033;-1;8;3.4000000953674316;2021/01/21
Gignese;103034;-1;1;0.949999988079071;2021/01/21
Gravellona Toce;103035;-1;23;2.950000047683716;2021/01/21
Gurro;103036;-1;0;0;2021/01/21
Intragna;103037;-1;0;0;2021/01/21
Loreglia;103038;-1;12;51.5;2021/01/21
Macugnaga;103039;-1;1;1.850000023841858;2021/01/21
Madonna del Sasso;103040;-1;0;0;2021/01/21
Malesco;103041;-1;2;1.4500000476837158;2021/01/21
Masera;103042;-1;4;2.7100000381469727;2021/01/21
Massiola;103043;-1;1;7.940000057220459;2021/01/21
Mergozzo;103044;-1;15;6.929999828338623;2021/01/21
Miazzina;103045;-1;8;20.940000534057617;2021/01/21
Montecrestese;103046;-1;7;5.5;2021/01/21
Montescheno;103047;-1;1;2.549999952316284;2021/01/21
Nonio;103048;-1;6;6.96999979019165;2021/01/21
Oggebbio;103049;-1;1;1.149999976158142;2021/01/21
Omegna;103050;-1;77;5.070000171661377;2021/01/21
Ornavasso;103051;-1;14;4.079999923706055;2021/01/21
Pallanzeno;103052;-1;3;2.609999895095825;2021/01/21
Piedimulera;103053;-1;5;3.2899999618530273;2021/01/21
Pieve Vergonte;103054;-1;12;4.769999980926514;2021/01/21
Premeno;103055;-1;6;8.220000267028809;2021/01/21
Premia;103056;-1;1;1.809999942779541;2021/01/21
Premosello-Chiovenda;103057;-1;9;4.639999866485596;2021/01/21
Quarna Sopra;103058;-1;0;0;2021/01/21
Quarna Sotto;103059;-1;0;0;2021/01/21
Re;103060;-1;1;1.3600000143051147;2021/01/21
San Bernardino Verbano;103061;-1;7;5.309999942779541;2021/01/21
Santa Maria Maggiore;103062;-1;0;0;2021/01/21
Stresa;103064;-1;16;3.2899999618530273;2021/01/21
Toceno;103065;-1;1;1.3700000047683716;2021/01/21
Trarego Viggiona;103066;-1;2;4.800000190734863;2021/01/21
Trasquera;103067;-1;0;0;2021/01/21
Trontano;103068;-1;9;5.389999866485596;2021/01/21
Valstrona;103069;-1;12;9.869999885559082;2021/01/21
